year,month,day,week_day,hour,exits,arrivals,temperature,rain,wind_speed
2021,1,1,Friday,0,0,1,5.6,0.0,6.7
2021,1,1,Friday,1,1,0,6.4,0.0,8.2
2021,1,1,Friday,2,0,0,4.9,0.0,7.8
2021,1,1,Friday,3,0,0,4.6,0.0,7.9
2021,1,1,Friday,4,0,0,4.5,0.0,7.2
2021,1,1,Friday,5,0,0,5.4,0.0,5.8
2021,1,1,Friday,6,0,0,4.1,0.0,5.1
2021,1,1,Friday,7,0,0,4.5,0.0,10.7
2021,1,1,Friday,8,0,0,4.3,0.0,9.0
2021,1,1,Friday,9,0,0,4.9,0.2,7.4
2021,1,1,Friday,10,3,0,6.8,0.0,4.7
2021,1,1,Friday,11,0,0,7.8,0.9,5.1
2021,1,1,Friday,12,0,0,7.9,0.2,7.9
2021,1,1,Friday,13,0,0,8.0,0.0,3.8
2021,1,1,Friday,14,0,0,8.5,0.1,6.4
2021,1,1,Friday,15,1,0,8.5,0.0,10.2
2021,1,1,Friday,16,1,0,8.1,0.0,8.3
2021,1,1,Friday,17,0,0,7.7,0.0,9.4
2021,1,1,Friday,18,0,0,6.8,0.0,6.5
2021,1,1,Friday,19,1,0,6.2,0.0,6.6
2021,1,1,Friday,20,0,2,5.0,0.0,6.2
2021,1,1,Friday,21,0,1,3.7,0.0,8.4
2021,1,1,Friday,22,0,0,6.1,0.0,6.5
2021,1,1,Friday,23,0,0,5.6,0.0,4.6
2021,1,2,Saturday,0,0,0,2.0,0.0,6.4
2021,1,2,Saturday,1,0,0,2.7,0.0,10.2
2021,1,2,Saturday,2,0,0,4.4,0.0,6.6
2021,1,2,Saturday,3,0,0,3.1,0.0,6.9
2021,1,2,Saturday,4,0,0,1.8,0.0,6.9
2021,1,2,Saturday,5,0,0,2.4,0.0,10.7
2021,1,2,Saturday,6,0,0,2.1,0.0,14.5
2021,1,2,Saturday,7,0,0,1.9,0.0,16.3
2021,1,2,Saturday,8,1,2,1.7,0.0,16.8
2021,1,2,Saturday,9,0,0,1.8,0.0,17.1
2021,1,2,Saturday,10,0,0,3.4,0.0,16.6
2021,1,2,Saturday,11,1,2,5.4,0.0,13.7
2021,1,2,Saturday,12,1,0,7.2,0.0,11.8
2021,1,2,Saturday,13,0,0,8.4,0.0,9.7
2021,1,2,Saturday,14,2,3,8.9,0.0,4.7
2021,1,2,Saturday,15,3,2,9.0,0.0,2.1
2021,1,2,Saturday,16,0,1,8.9,0.0,3.6
2021,1,2,Saturday,17,2,0,7.8,0.0,4.7
2021,1,2,Saturday,18,1,0,6.3,0.0,5.7
2021,1,2,Saturday,19,0,5,6.6,0.0,9.3
2021,1,2,Saturday,20,5,1,6.1,0.0,10.7
2021,1,2,Saturday,21,0,1,5.4,0.0,10.8
2021,1,2,Saturday,22,0,0,5.3,0.0,10.6
2021,1,2,Saturday,23,0,0,5.1,0.0,10.8
2021,1,3,Sunday,0,0,0,4.9,0.0,10.2
2021,1,3,Sunday,1,0,0,5.4,0.0,3.9
2021,1,3,Sunday,2,0,0,5.3,0.2,3.5
2021,1,3,Sunday,3,0,0,4.4,0.0,9.4
2021,1,3,Sunday,4,0,0,3.7,0.0,12.5
2021,1,3,Sunday,5,0,0,4.1,0.0,9.8
2021,1,3,Sunday,6,0,0,3.9,0.0,8.9
2021,1,3,Sunday,7,0,0,3.1,0.0,13.3
2021,1,3,Sunday,8,0,2,2.9,0.0,15.8
2021,1,3,Sunday,9,0,0,2.4,0.0,15.3
2021,1,3,Sunday,10,0,0,3.3,0.0,15.3
2021,1,3,Sunday,11,1,2,5.0,0.0,15.8
2021,1,3,Sunday,12,2,1,7.0,0.0,14.7
2021,1,3,Sunday,13,0,1,8.1,0.0,8.7
2021,1,3,Sunday,14,5,2,8.9,0.0,6.3
2021,1,3,Sunday,15,2,0,9.6,0.0,6.1
2021,1,3,Sunday,16,1,0,9.5,0.0,4.8
2021,1,3,Sunday,17,1,3,6.5,0.0,6.1
2021,1,3,Sunday,18,0,0,6.2,0.0,6.9
2021,1,3,Sunday,19,1,1,7.5,0.0,4.9
2021,1,3,Sunday,20,0,0,6.9,0.0,4.6
2021,1,3,Sunday,21,2,1,3.0,0.0,5.8
2021,1,3,Sunday,22,0,1,2.3,0.0,9.0
2021,1,3,Sunday,23,0,0,1.3,0.0,7.1
2021,1,4,Monday,0,0,0,0.8,0.0,5.3
2021,1,4,Monday,1,0,0,-0.2,0.0,6.8
2021,1,4,Monday,2,0,0,0.6,0.0,4.8
2021,1,4,Monday,3,0,0,0.0,0.0,4.7
2021,1,4,Monday,4,0,0,0.1,0.0,5.5
2021,1,4,Monday,5,0,0,0.4,0.0,7.1
2021,1,4,Monday,6,0,0,0.8,0.0,9.5
2021,1,4,Monday,7,0,0,0.7,0.0,10.0
2021,1,4,Monday,8,1,5,1.4,0.0,9.7
2021,1,4,Monday,9,1,1,1.6,0.0,11.4
2021,1,4,Monday,10,0,3,3.6,0.0,11.6
2021,1,4,Monday,11,0,4,5.3,0.0,11.7
2021,1,4,Monday,12,2,1,7.1,0.0,10.7
2021,1,4,Monday,13,1,1,8.8,0.0,17.4
2021,1,4,Monday,14,2,2,9.3,0.0,15.3
2021,1,4,Monday,15,4,0,9.2,0.0,13.4
2021,1,4,Monday,16,2,1,8.6,0.0,12.8
2021,1,4,Monday,17,3,1,7.0,0.0,8.2
2021,1,4,Monday,18,2,1,3.7,0.0,8.1
2021,1,4,Monday,19,2,2,2.2,0.0,9.0
