num_bikes_available,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,num_docks_available,month,day_month,day_week,hour,minute
0.0,0.0,0.0,27.0,5,31,2,21,56
0.0,0.0,0.0,27.0,5,31,2,22,1
0.0,0.0,0.0,28.0,5,31,2,22,5
0.0,0.0,0.0,28.0,5,31,2,22,10
0.0,0.0,0.0,28.0,5,31,2,22,19
0.0,0.0,0.0,28.0,5,31,2,22,23
0.0,0.0,0.0,28.0,5,31,2,22,28
0.0,0.0,0.0,28.0,5,31,2,22,32
0.0,0.0,0.0,28.0,5,31,2,22,36
0.0,0.0,0.0,28.0,5,31,2,22,41
0.0,0.0,0.0,28.0,5,31,2,22,46
0.0,0.0,0.0,28.0,5,31,2,22,50
0.0,0.0,0.0,28.0,5,31,2,22,59
0.0,0.0,0.0,28.0,5,31,2,23,3
0.0,0.0,0.0,28.0,5,31,2,23,8
0.0,0.0,0.0,28.0,5,31,2,23,12
0.0,0.0,0.0,28.0,5,31,2,23,17
0.0,0.0,0.0,28.0,5,31,2,23,21
0.0,0.0,0.0,28.0,5,31,2,23,26
0.0,0.0,0.0,28.0,5,31,2,23,34
0.0,0.0,0.0,28.0,5,31,2,23,39
0.0,0.0,0.0,28.0,5,31,2,23,43
0.0,0.0,0.0,28.0,5,31,2,23,48
0.0,0.0,0.0,28.0,5,31,2,23,52
0.0,0.0,0.0,28.0,5,31,2,23,56
0.0,0.0,0.0,28.0,6,1,3,0,1
0.0,0.0,0.0,28.0,6,1,3,0,5
0.0,0.0,0.0,28.0,6,1,3,0,14
0.0,0.0,0.0,28.0,6,1,3,0,19
0.0,0.0,0.0,28.0,6,1,3,0,23
0.0,0.0,0.0,28.0,6,1,3,0,27
0.0,0.0,0.0,28.0,6,1,3,0,32
0.0,0.0,0.0,28.0,6,1,3,0,36
0.0,0.0,0.0,28.0,6,1,3,0,41
0.0,0.0,0.0,28.0,6,1,3,0,45
0.0,0.0,0.0,28.0,6,1,3,0,54
0.0,0.0,0.0,28.0,6,1,3,0,58
0.0,0.0,0.0,28.0,6,1,3,1,3
0.0,0.0,0.0,28.0,6,1,3,1,7
0.0,0.0,0.0,28.0,6,1,3,1,11
0.0,0.0,0.0,28.0,6,1,3,1,16
1.0,0.0,1.0,27.0,6,1,3,1,20
1.0,0.0,1.0,27.0,6,1,3,1,29
4.0,1.0,3.0,24.0,6,1,3,1,33
4.0,1.0,3.0,24.0,6,1,3,1,38
4.0,1.0,3.0,24.0,6,1,3,1,42
4.0,1.0,3.0,24.0,6,1,3,1,47
4.0,1.0,3.0,24.0,6,1,3,1,51
4.0,1.0,3.0,24.0,6,1,3,1,56
4.0,1.0,3.0,24.0,6,1,3,2,0
4.0,1.0,3.0,24.0,6,1,3,2,9
