total_salidas,salidas_mecanicas,salidas_electricas,entradas_mecanicas,entradas_electricas,total_entradas,demanda_mecanicas,demanda_electricas,total_demanda,hora,day_week,day_month,month,satisfy_demand
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,4,30,9,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4,30,9,False
0.0,0.0,0.0,14.0,3.0,17.0,-14.0,-3.0,-17.0,23,5,1,10,True
1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,5,1,10,True
4.0,1.0,3.0,1.0,0.0,1.0,0.0,3.0,3.0,1,5,1,10,True
1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,5,1,10,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,1,10,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,1,10,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,1,10,True
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6,5,1,10,True
0.0,0.0,0.0,0.0,3.0,3.0,0.0,-3.0,-3.0,7,5,1,10,True
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,8,5,1,10,True
1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,1,10,True
4.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,10,5,1,10,True
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11,5,1,10,True
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12,5,1,10,True
0.0,0.0,0.0,0.0,3.0,3.0,0.0,-3.0,-3.0,13,5,1,10,True
4.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,14,5,1,10,True
6.0,2.0,4.0,0.0,1.0,1.0,2.0,3.0,5.0,15,5,1,10,True
2.0,1.0,1.0,1.0,3.0,4.0,0.0,-2.0,-2.0,16,5,1,10,True
3.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,17,5,1,10,True
3.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,18,5,1,10,True
5.0,2.0,3.0,0.0,1.0,1.0,2.0,2.0,4.0,19,5,1,10,True
1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,20,5,1,10,False
0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,-1.0,21,5,1,10,True
1.0,0.0,1.0,1.0,0.0,1.0,-1.0,1.0,0.0,22,5,1,10,True
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,23,6,2,10,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,2,10,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,2,10,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,2,10,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6,2,10,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,2,10,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6,2,10,False
0.0,0.0,0.0,0.0,4.0,4.0,0.0,-4.0,-4.0,6,6,2,10,False
0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,-1.0,7,6,2,10,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,6,2,10,True
2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,9,6,2,10,True
2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,10,6,2,10,True
2.0,0.0,2.0,0.0,3.0,3.0,0.0,-1.0,-1.0,11,6,2,10,True
2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,12,6,2,10,True
3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,13,6,2,10,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,6,2,10,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,6,2,10,False
0.0,0.0,0.0,11.0,0.0,11.0,-11.0,0.0,-11.0,16,6,2,10,False
3.0,3.0,0.0,6.0,0.0,6.0,-3.0,0.0,-3.0,17,6,2,10,True
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,18,6,2,10,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6,2,10,True
7.0,7.0,0.0,1.0,0.0,1.0,6.0,0.0,6.0,20,6,2,10,True
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,21,6,2,10,True
1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,22,6,2,10,True
0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,-1.0,23,0,3,10,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,10,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3,10,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,3,10,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,3,10,True
0.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,-1.0,4,0,3,10,True
1.0,0.0,1.0,1.0,20.0,21.0,-1.0,-19.0,-20.0,5,0,3,10,True
21.0,8.0,13.0,0.0,3.0,3.0,8.0,10.0,18.0,6,0,3,10,True
1.0,0.0,1.0,2.0,16.0,18.0,-2.0,-15.0,-17.0,7,0,3,10,True
2.0,1.0,1.0,0.0,2.0,2.0,1.0,-1.0,0.0,8,0,3,10,True
9.0,2.0,7.0,2.0,2.0,4.0,0.0,5.0,5.0,9,0,3,10,True
19.0,2.0,17.0,1.0,1.0,2.0,1.0,16.0,17.0,10,0,3,10,True
20.0,4.0,16.0,4.0,13.0,17.0,0.0,3.0,3.0,11,0,3,10,True
8.0,1.0,7.0,1.0,5.0,6.0,0.0,2.0,2.0,12,0,3,10,True
2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,13,0,3,10,False
4.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,14,0,3,10,False
1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,15,0,3,10,False
3.0,1.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,16,0,3,10,False
1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,17,0,3,10,False
2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,18,0,3,10,False
1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,19,0,3,10,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,3,10,False
0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,-1.0,21,0,3,10,False
1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,22,0,3,10,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1,4,10,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4,10,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,4,10,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,4,10,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,4,10,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,4,10,True
1.0,0.0,1.0,1.0,27.0,28.0,-1.0,-26.0,-27.0,5,1,4,10,True
1.0,1.0,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,6,1,4,10,True
4.0,0.0,4.0,1.0,1.0,2.0,-1.0,3.0,2.0,7,1,4,10,True
6.0,1.0,5.0,0.0,5.0,5.0,1.0,0.0,1.0,8,1,4,10,True
13.0,0.0,13.0,0.0,4.0,4.0,0.0,9.0,9.0,9,1,4,10,True
9.0,0.0,9.0,0.0,7.0,7.0,0.0,2.0,2.0,10,1,4,10,True
15.0,0.0,15.0,0.0,4.0,4.0,0.0,11.0,11.0,11,1,4,10,True
9.0,1.0,8.0,2.0,6.0,8.0,-1.0,2.0,1.0,12,1,4,10,True
5.0,1.0,4.0,0.0,3.0,3.0,1.0,1.0,2.0,13,1,4,10,True
4.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,14,1,4,10,True
2.0,0.0,2.0,0.0,3.0,3.0,0.0,-1.0,-1.0,15,1,4,10,True
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,16,1,4,10,False
2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,17,1,4,10,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1,4,10,False
1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,19,1,4,10,False
2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,20,1,4,10,True
2.0,0.0,2.0,0.0,4.0,4.0,0.0,-2.0,-2.0,21,1,4,10,True
