time,temperature,rain,windspeed,month,day_month,hour
1664575200,17.0,0.0,5.7,10,1,0
1664578800,17.7,0.0,5.7,10,1,1
1664582400,16.5,0.0,7.1,10,1,2
1664586000,14.2,0.0,6.6,10,1,3
1664589600,14.2,0.0,6.9,10,1,4
1664593200,13.9,0.0,8.7,10,1,5
1664596800,13.7,0.0,9.0,10,1,6
1664600400,13.5,0.0,9.9,10,1,7
1664604000,13.3,0.0,11.9,10,1,8
1664607600,14.3,0.0,10.9,10,1,9
1664611200,15.3,0.0,10.0,10,1,10
1664614800,16.3,0.0,6.9,10,1,11
1664618400,17.8,0.0,2.7,10,1,12
1664622000,18.9,0.0,8.1,10,1,13
1664625600,19.9,0.0,12.1,10,1,14
1664629200,20.9,0.0,13.4,10,1,15
1664632800,21.7,0.0,13.2,10,1,16
1664636400,22.4,0.0,13.9,10,1,17
1664640000,22.5,0.0,12.1,10,1,18
1664643600,21.6,0.0,8.8,10,1,19
1664647200,20.4,0.0,8.4,10,1,20
1664650800,19.4,0.0,8.7,10,1,21
1664654400,18.6,0.0,9.3,10,1,22
1664658000,17.9,0.0,7.6,10,1,23
1664661600,17.7,0.0,7.6,10,2,0
1664665200,17.3,0.0,6.2,10,2,1
1664668800,17.0,0.0,5.4,10,2,2
1664672400,16.6,0.0,5.2,10,2,3
1664676000,16.1,0.0,5.3,10,2,4
1664679600,15.4,0.0,6.5,10,2,5
1664683200,15.1,0.0,6.1,10,2,6
1664686800,14.9,0.0,7.4,10,2,7
1664690400,14.8,0.0,8.7,10,2,8
1664694000,15.6,0.0,8.6,10,2,9
1664697600,18.6,0.0,6.8,10,2,10
1664701200,20.8,0.0,7.6,10,2,11
1664704800,22.1,0.0,9.5,10,2,12
1664708400,23.0,0.0,12.1,10,2,13
1664712000,23.6,0.0,13.0,10,2,14
1664715600,24.0,0.0,13.5,10,2,15
1664719200,24.1,0.0,13.6,10,2,16
1664722800,23.7,0.0,13.3,10,2,17
1664726400,22.9,0.0,13.4,10,2,18
1664730000,21.6,0.0,12.3,10,2,19
1664733600,20.3,0.0,8.2,10,2,20
1664737200,19.7,0.0,7.4,10,2,21
1664740800,18.9,0.0,6.2,10,2,22
1664744400,18.6,0.0,3.5,10,2,23
1664748000,17.4,0.0,5.0,10,3,0
1664751600,16.8,0.0,2.9,10,3,1
1664755200,16.0,0.0,3.1,10,3,2
1664758800,15.4,0.0,4.0,10,3,3
1664762400,15.0,0.0,3.4,10,3,4
1664766000,14.8,0.0,3.4,10,3,5
1664769600,14.6,0.0,3.6,10,3,6
1664773200,14.4,0.0,4.7,10,3,7
1664776800,14.4,0.0,7.9,10,3,8
1664780400,16.2,0.0,7.6,10,3,9
1664784000,17.9,0.0,5.7,10,3,10
1664787600,19.5,0.0,1.8,10,3,11
1664791200,20.7,0.0,5.1,10,3,12
1664794800,21.6,0.0,10.8,10,3,13
1664798400,22.0,0.0,9.8,10,3,14
1664802000,22.2,0.0,13.8,10,3,15
1664805600,22.3,0.0,12.6,10,3,16
1664809200,22.1,0.0,11.7,10,3,17
1664812800,21.6,0.0,9.4,10,3,18
1664816400,20.7,0.0,7.0,10,3,19
1664820000,19.8,0.0,6.6,10,3,20
1664823600,20.7,0.0,1.8,10,3,21
1664827200,20.7,0.0,1.1,10,3,22
1664830800,20.3,0.0,1.1,10,3,23
1664834400,20.1,0.0,1.3,10,4,0
1664838000,19.9,0.0,3.2,10,4,1
1664841600,19.0,0.0,4.5,10,4,2
1664845200,18.4,0.0,5.2,10,4,3
1664848800,18.0,0.0,4.3,10,4,4
1664852400,18.4,0.0,10.4,10,4,5
1664856000,18.6,0.0,10.4,10,4,6
1664859600,18.5,0.0,7.1,10,4,7
1664863200,18.6,0.0,5.9,10,4,8
1664866800,18.6,0.0,6.3,10,4,9
1664870400,19.5,0.0,6.9,10,4,10
1664874000,20.5,0.0,7.6,10,4,11
1664877600,21.3,0.0,4.3,10,4,12
1664881200,21.8,0.0,4.4,10,4,13
1664884800,22.3,0.0,6.1,10,4,14
1664888400,22.7,0.0,6.1,10,4,15
