num_bikes_available,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,num_docks_available,last_reported
0,0,0,27,1667257107
0,0,0,27,1667257376
0,0,0,27,1667257644
0,0,0,27,1667257910
0,0,0,27,1667258179
0,0,0,27,1667258444
0,0,0,27,1667258976
0,0,0,27,1667259242
0,0,0,27,1667259507
0,0,0,27,1667259775
0,0,0,27,1667260043
0,0,0,27,1667260311
0,0,0,27,1667260580
0,0,0,27,1667260849
0,0,0,27,1667261382
0,0,0,27,1667261650
0,0,0,27,1667261920
0,0,0,27,1667262190
0,0,0,27,1667262457
0,0,0,27,1667262724
0,0,0,27,1667262987
0,0,0,27,1667263256
0,0,0,27,1667263793
0,0,0,27,1667264061
0,0,0,27,1667264330
0,0,0,27,1667264596
0,0,0,27,1667264865
0,0,0,27,1667265131
0,0,0,27,1667265399
1,0,1,26,1667265667
1,0,1,26,1667265935
2,0,2,25,1667266469
2,0,2,25,1667266733
2,0,2,25,1667266998
2,0,2,25,1667267265
2,0,2,25,1667267531
2,0,2,25,1667267801
2,0,2,25,1667268069
2,0,2,25,1667268336
2,0,2,25,1667268872
2,0,2,25,1667269141
3,0,3,24,1667269409
2,0,2,25,1667269676
2,0,2,25,1667269946
2,0,2,25,1667270215
2,0,2,25,1667270481
2,0,2,25,1667270748
2,0,2,25,1667271284
2,0,2,25,1667271553
2,0,2,25,1667271820
3,0,3,24,1667272086
3,0,3,24,1667272353
3,0,3,24,1667272619
3,0,3,24,1667272882
3,0,3,24,1667273150
3,0,3,24,1667273686
3,0,3,24,1667273954
3,0,3,24,1667274222
3,0,3,24,1667274488
3,0,3,24,1667274754
3,0,3,24,1667275021
3,0,3,24,1667275288
3,0,3,24,1667275556
4,0,4,23,1667276093
4,0,4,23,1667276361
4,0,4,23,1667276629
4,0,4,23,1667276895
4,0,4,23,1667277161
4,0,4,23,1667277429
5,0,5,22,1667277694
5,0,5,22,1667277962
5,0,5,22,1667278496
5,0,5,22,1667278762
5,0,5,22,1667279026
5,0,5,22,1667279294
5,0,5,22,1667279561
5,0,5,22,1667279829
5,0,5,22,1667280096
5,0,5,22,1667280362
5,0,5,22,1667280896
5,0,5,22,1667281164
5,0,5,22,1667281430
5,0,5,22,1667281697
5,0,5,22,1667281963
5,0,5,22,1667282232
5,0,5,22,1667282498
5,0,5,22,1667282766
5,0,5,22,1667283032
5,0,5,22,1667283571
5,0,5,22,1667283838
5,0,5,22,1667284103
5,0,5,22,1667284372
5,0,5,22,1667284640
5,0,5,22,1667284906
5,0,5,22,1667285174
5,0,5,22,1667285440
5,0,5,22,1667285972
4,0,4,23,1667286236
4,0,4,23,1667286502
4,0,4,23,1667286771
3,0,3,24,1667287040
3,0,3,24,1667287309
3,0,3,24,1667287578
3,0,3,24,1667287842
3,0,3,24,1667288376
3,0,3,24,1667288648
3,0,3,24,1667288915
3,0,3,24,1667289185
3,0,3,24,1667289450
3,0,3,24,1667289719
3,0,3,24,1667289987
3,0,3,24,1667290254
4,0,4,23,1667290786
4,0,4,23,1667291053
4,0,4,23,1667291318
4,0,4,23,1667291582
5,0,5,22,1667291850
5,0,5,22,1667292117
5,0,5,22,1667292384
5,0,5,22,1667292651
5,0,5,22,1667293185
5,0,5,22,1667293450
5,0,5,22,1667293718
5,0,5,22,1667293986
4,0,4,23,1667294252
2,0,2,25,1667294520
2,0,2,25,1667294787
2,0,2,25,1667295051
2,0,2,25,1667295314
2,0,2,25,1667295847
2,0,2,25,1667296115
2,0,2,25,1667296382
3,0,3,24,1667296650
3,0,3,24,1667296917
3,0,3,24,1667297184
5,1,4,22,1667297453
5,1,4,22,1667297722
4,0,4,23,1667298025
4,0,4,23,1667298557
4,0,4,23,1667298826
4,0,4,23,1667299094
4,0,4,23,1667299360
2,0,2,25,1667299626
2,0,2,25,1667299892
2,0,2,25,1667300160
3,0,3,24,1667300696
3,0,3,24,1667300964
3,0,3,24,1667301232
3,0,3,24,1667301494
3,0,3,24,1667301764
3,0,3,24,1667302033
3,0,3,24,1667302302
3,0,3,24,1667302567
3,0,3,24,1667302834
3,0,3,24,1667303371
3,0,3,24,1667303638
3,0,3,24,1667303907
2,0,2,25,1667304174
2,0,2,25,1667304443
2,0,2,25,1667304711
2,0,2,25,1667304978
2,0,2,25,1667305244
2,0,2,25,1667305780
1,0,1,26,1667306047
0,0,0,27,1667306316
0,0,0,27,1667306584
0,0,0,27,1667306849
0,0,0,27,1667307117
0,0,0,27,1667307386
0,0,0,27,1667307656
0,0,0,27,1667307925
0,0,0,27,1667308460
0,0,0,27,1667308728
0,0,0,27,1667308996
0,0,0,27,1667309263
0,0,0,27,1667309530
0,0,0,27,1667309801
0,0,0,27,1667310066
0,0,0,27,1667310600
0,0,0,27,1667310866
0,0,0,27,1667311132
0,0,0,27,1667311396
0,0,0,27,1667311663
0,0,0,27,1667311931
0,0,0,27,1667312200
0,0,0,27,1667312467
0,0,0,27,1667312736
0,0,0,27,1667313276
0,0,0,27,1667313541
0,0,0,27,1667313810
1,0,1,25,1667314078
1,0,1,25,1667314345
1,0,1,25,1667314612
1,0,1,25,1667314879
1,0,1,25,1667315145
1,0,1,25,1667315413
2,0,2,24,1667315951
2,0,2,24,1667316218
2,0,2,24,1667316486
2,0,2,24,1667316755
2,0,2,24,1667317020
1,0,1,25,1667317289
2,0,2,25,1667317558
2,0,2,25,1667317827
3,0,3,24,1667318362
3,0,3,24,1667318631
5,0,5,22,1667318899
5,0,5,22,1667319168
5,0,5,22,1667319435
5,0,5,22,1667319702
6,0,6,21,1667319967
6,0,6,21,1667320236
6,0,6,21,1667320772
5,0,5,22,1667321038
3,0,3,24,1667321304
1,0,1,26,1667321572
1,0,1,26,1667321839
1,0,1,26,1667322105
1,0,1,26,1667322373
1,0,1,26,1667322642
1,0,1,26,1667322909
1,0,1,26,1667323445
0,0,0,27,1667323711
0,0,0,27,1667323977
0,0,0,27,1667324243
0,0,0,27,1667324511
0,0,0,27,1667324776
0,0,0,27,1667325039
0,0,0,27,1667325571
0,0,0,27,1667325837
0,0,0,27,1667326101
1,0,1,26,1667326367
1,0,1,26,1667326635
1,0,1,26,1667326901
1,0,1,26,1667327171
0,0,0,27,1667327439
0,0,0,27,1667327973
0,0,0,27,1667328241
0,0,0,27,1667328505
0,0,0,27,1667328769
0,0,0,27,1667329032
0,0,0,27,1667329298
0,0,0,27,1667329564
0,0,0,27,1667329834
0,0,0,27,1667330364
0,0,0,27,1667330630
0,0,0,27,1667330898
0,0,0,27,1667331167
1,0,1,26,1667331467
1,0,1,26,1667331729
1,0,1,26,1667331991
1,0,1,26,1667332251
1,0,1,26,1667332770
2,0,2,25,1667333032
2,0,2,25,1667333337
1,0,1,26,1667333602
1,0,1,26,1667333868
1,0,1,26,1667334135
1,0,1,26,1667334400
1,0,1,26,1667334664
1,0,1,26,1667334931
1,0,1,26,1667335466
1,0,1,26,1667335732
1,0,1,26,1667336000
1,0,1,26,1667336266
1,0,1,26,1667336532
1,0,1,26,1667336798
1,0,1,26,1667337066
1,0,1,26,1667337331
1,0,1,26,1667337865
1,0,1,26,1667338130
1,0,1,26,1667338392
1,0,1,26,1667338659
1,0,1,26,1667338926
1,0,1,26,1667339190
1,0,1,26,1667339456
1,0,1,26,1667339723
1,0,1,26,1667340260
1,0,1,26,1667340527
0,0,0,27,1667340791
0,0,0,27,1667341058
