num_bikes_available,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,num_docks_available,last_reported
0,0,0,28,1675205753
0,0,0,28,1675206282
0,0,0,28,1675206550
0,0,0,28,1675206816
1,0,1,27,1675207085
1,0,1,27,1675207349
1,0,1,27,1675207614
1,0,1,27,1675207880
1,0,1,27,1675208138
1,0,1,27,1675208668
1,0,1,27,1675208932
1,0,1,27,1675209197
1,0,1,27,1675209458
1,0,1,27,1675209719
1,0,1,27,1675209983
1,0,1,27,1675210248
0,0,0,28,1675210776
0,0,0,28,1675211040
0,0,0,28,1675211303
0,0,0,28,1675211562
0,0,0,28,1675211827
0,0,0,28,1675212088
0,0,0,28,1675212353
0,0,0,28,1675212883
0,0,0,28,1675213144
0,0,0,28,1675213414
0,0,0,28,1675213678
0,0,0,28,1675213944
0,0,0,28,1675214211
0,0,0,28,1675214477
0,0,0,28,1675214743
0,0,0,28,1675215270
0,0,0,28,1675215533
0,0,0,28,1675215799
0,0,0,28,1675216067
1,0,1,27,1675216332
1,0,1,27,1675216599
1,0,1,27,1675216864
1,0,1,27,1675217128
1,0,1,27,1675217651
1,0,1,27,1675217916
1,0,1,27,1675218178
1,0,1,27,1675218437
1,0,1,27,1675218696
1,0,1,27,1675218957
1,0,1,27,1675219480
1,0,1,27,1675219743
1,0,1,27,1675220007
1,0,1,27,1675220272
1,0,1,27,1675220535
1,0,1,27,1675220804
1,0,1,27,1675221068
1,0,1,27,1675221596
1,0,1,27,1675221862
1,0,1,27,1675222126
4,2,2,24,1675222393
4,2,2,24,1675222659
4,2,2,24,1675222926
4,2,2,24,1675223187
4,2,2,24,1675223456
4,2,2,24,1675223990
4,2,2,24,1675224255
4,2,2,24,1675224520
4,2,2,24,1675224787
4,2,2,24,1675225051
4,2,2,24,1675225315
4,2,2,24,1675225578
4,2,2,24,1675225843
4,2,2,24,1675226368
4,2,2,24,1675226632
4,2,2,24,1675226896
4,2,2,24,1675227158
4,2,2,24,1675227421
4,2,2,24,1675227687
4,2,2,24,1675227953
4,2,2,24,1675228483
4,2,2,24,1675228749
4,2,2,24,1675229017
4,2,2,24,1675229281
5,2,3,23,1675229549
5,2,3,23,1675229817
5,2,3,23,1675230084
5,2,3,23,1675230351
5,2,3,23,1675230881
5,2,3,23,1675231149
5,2,3,23,1675231417
5,2,3,23,1675231686
5,2,3,23,1675231955
5,2,3,23,1675232224
5,2,3,23,1675232492
5,2,3,23,1675232760
5,2,3,23,1675233290
5,2,3,23,1675233557
5,2,3,23,1675233826
5,2,3,23,1675234091
6,2,4,22,1675234354
6,2,4,22,1675234616
7,2,5,21,1675234879
7,2,5,21,1675235145
8,2,6,20,1675235678
8,2,6,20,1675235943
9,2,7,19,1675236206
12,2,10,16,1675236474
12,2,10,16,1675236738
14,2,12,14,1675237005
15,3,12,13,1675237272
15,3,12,13,1675237538
15,3,12,13,1675238072
16,3,13,12,1675238341
16,3,13,12,1675238606
17,3,14,11,1675238872
17,3,14,11,1675239137
17,3,14,11,1675239405
17,3,14,11,1675239669
19,3,16,9,1675239936
20,4,16,8,1675240465
19,3,16,9,1675240728
20,3,17,8,1675240990
20,3,17,8,1675241251
21,3,18,7,1675241513
21,3,18,7,1675241775
22,3,19,6,1675242035
22,3,19,6,1675242556
23,3,20,5,1675242821
23,3,20,5,1675243082
25,3,22,3,1675243342
25,3,22,3,1675243605
25,3,22,3,1675243867
27,3,24,1,1675244400
27,3,24,1,1675244664
27,3,24,1,1675244930
27,3,24,1,1675245196
27,3,24,1,1675245459
27,3,24,1,1675245724
27,3,24,1,1675245987
26,3,23,2,1675246251
25,3,22,3,1675246782
27,4,23,1,1675247047
27,4,23,1,1675247312
27,4,23,1,1675247579
27,4,23,1,1675247844
26,4,22,2,1675248108
27,4,23,1,1675248372
27,4,23,1,1675248637
27,4,23,1,1675249170
27,4,23,1,1675249433
27,4,23,1,1675249696
27,4,23,1,1675249961
26,4,22,2,1675250225
27,4,23,1,1675250485
26,3,23,2,1675250748
25,3,22,3,1675251278
23,3,20,5,1675251544
22,3,19,6,1675251808
22,3,19,6,1675252075
22,4,18,6,1675252340
22,4,18,6,1675252607
22,4,18,6,1675252873
22,4,18,6,1675253138
21,4,17,7,1675253669
20,4,16,8,1675253934
21,4,17,7,1675254202
20,4,16,8,1675254467
21,4,17,7,1675254730
20,4,16,8,1675254995
16,3,13,12,1675255259
16,3,13,12,1675255791
16,3,13,12,1675256059
16,3,13,12,1675256321
16,3,13,12,1675256586
17,4,13,11,1675256852
17,4,13,11,1675257116
16,3,13,12,1675257382
16,3,13,12,1675257647
16,3,13,12,1675258176
15,2,13,13,1675258443
16,3,13,12,1675258704
15,3,12,13,1675258970
15,3,12,13,1675259230
16,3,13,12,1675259490
16,3,13,12,1675259755
15,3,12,13,1675260276
15,3,12,13,1675260544
13,1,12,15,1675260802
13,1,12,15,1675261062
12,1,11,16,1675261327
12,1,11,16,1675261588
13,1,12,15,1675261850
13,1,12,15,1675262375
12,0,12,16,1675262640
13,0,13,15,1675262904
12,0,12,16,1675263167
11,0,11,17,1675263433
11,0,11,17,1675263700
9,0,9,19,1675263966
9,0,9,19,1675264265
9,0,9,19,1675264786
10,0,10,18,1675265045
10,0,10,18,1675265307
9,0,9,19,1675265569
9,0,9,19,1675265830
9,0,9,19,1675266131
10,0,10,18,1675266399
11,0,11,17,1675266665
12,0,12,16,1675266932
12,0,12,16,1675267464
12,0,12,16,1675267732
10,0,10,18,1675268000
10,1,9,18,1675268266
9,1,8,19,1675268533
8,0,8,20,1675268800
9,0,9,19,1675269065
9,0,9,19,1675269598
9,0,9,19,1675269860
8,0,8,20,1675270127
9,0,9,19,1675270390
5,0,5,23,1675270656
4,0,4,24,1675270915
4,0,4,24,1675271182
3,0,3,25,1675271448
3,0,3,25,1675271979
6,0,6,22,1675272247
6,0,6,22,1675272512
7,0,7,21,1675272779
7,0,7,21,1675273047
8,0,8,20,1675273313
8,0,8,20,1675273577
8,0,8,20,1675273840
8,0,8,20,1675274371
9,0,9,19,1675274636
9,0,9,19,1675274897
8,0,8,20,1675275160
7,0,7,21,1675275424
7,0,7,21,1675275689
7,0,7,21,1675275954
6,0,6,22,1675276487
6,0,6,22,1675276754
5,0,5,23,1675277021
6,0,6,22,1675277289
6,0,6,22,1675277554
7,0,7,21,1675277819
6,0,6,22,1675278087
5,0,5,23,1675278353
4,0,4,24,1675278886
4,0,4,24,1675279151
1,0,1,27,1675279418
0,0,0,28,1675279685
0,0,0,28,1675279954
0,0,0,28,1675280222
0,0,0,28,1675280487
0,0,0,28,1675280753
0,0,0,28,1675281292
2,0,2,26,1675281561
4,0,4,24,1675281826
2,0,2,26,1675282093
1,0,1,27,1675282357
1,0,1,27,1675282623
1,0,1,27,1675282892
1,0,1,27,1675283162
1,0,1,27,1675283429
1,0,1,27,1675283964
12,7,5,16,1675284230
12,7,5,16,1675284497
12,7,5,16,1675284763
12,7,5,16,1675285030
12,7,5,16,1675285297
12,7,5,16,1675285563
12,7,5,16,1675285830
12,7,5,16,1675286360
12,7,5,16,1675286625
12,7,5,16,1675286891
12,7,5,16,1675287154
12,7,5,16,1675287418
10,7,3,18,1675287684
10,7,3,18,1675287949
10,7,3,18,1675288475
10,7,3,18,1675288740
11,7,4,17,1675289001
11,7,4,17,1675289260
11,7,4,17,1675289523
11,7,4,17,1675289784
11,6,5,16,1675290045
11,7,4,17,1675290573
11,7,4,17,1675290839
10,6,4,17,1675291105
10,7,3,18,1675291368
10,7,3,18,1675291632
10,7,3,18,1675291896
10,7,3,18,1675292161
10,7,3,18,1675292689
10,7,3,18,1675292951
10,7,3,18,1675293213
10,7,3,18,1675293473
9,6,3,18,1675293735
9,7,2,19,1675294001
