num_bikes_available,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,num_docks_available,last_reported
2,0,2,23,1688162296
2,0,2,23,1688162561
2,0,2,23,1688162827
2,0,2,23,1688163092
1,0,1,24,1688163359
1,0,1,24,1688163624
1,0,1,24,1688164148
2,0,2,23,1688164410
1,0,1,23,1688164668
1,0,1,23,1688164930
1,0,1,23,1688165192
1,0,1,23,1688165450
1,0,1,23,1688165973
2,0,2,23,1688166236
2,0,2,23,1688166498
1,0,1,24,1688166761
1,0,1,24,1688167029
1,0,1,24,1688167295
1,0,1,24,1688167561
1,0,1,24,1688168084
1,0,1,24,1688168346
1,0,1,24,1688168607
1,0,1,24,1688168868
1,0,1,24,1688169127
1,0,1,24,1688169389
1,0,1,24,1688169650
1,0,1,24,1688170173
1,0,1,24,1688170436
1,0,1,24,1688170701
1,0,1,24,1688170963
1,0,1,24,1688171231
1,0,1,24,1688171498
1,0,1,24,1688171760
1,0,1,24,1688172290
1,0,1,24,1688172551
1,0,1,24,1688172819
1,0,1,24,1688173086
1,0,1,24,1688173351
1,0,1,24,1688173616
1,0,1,24,1688173877
1,0,1,24,1688174138
1,0,1,24,1688174662
1,0,1,24,1688174928
1,0,1,24,1688175188
1,0,1,24,1688175448
0,0,0,25,1688175714
0,0,0,25,1688175982
0,0,0,25,1688176247
0,0,0,25,1688176780
0,0,0,25,1688177045
0,0,0,25,1688177314
0,0,0,25,1688177575
0,0,0,25,1688177841
0,0,0,25,1688178109
0,0,0,25,1688178376
0,0,0,25,1688178642
0,0,0,25,1688179171
0,0,0,25,1688179436
0,0,0,25,1688179704
0,0,0,25,1688179967
0,0,0,25,1688180234
0,0,0,25,1688180499
0,0,0,25,1688180765
0,0,0,25,1688181030
0,0,0,25,1688181561
0,0,0,25,1688181830
0,0,0,25,1688182094
0,0,0,25,1688182361
0,0,0,25,1688182627
0,0,0,25,1688182895
0,0,0,25,1688183162
0,0,0,25,1688183692
0,0,0,25,1688183959
0,0,0,25,1688184223
0,0,0,25,1688184488
0,0,0,25,1688184756
0,0,0,25,1688185023
0,0,0,25,1688185290
0,0,0,25,1688185553
0,0,0,25,1688186082
0,0,0,25,1688186347
0,0,0,25,1688186612
0,0,0,25,1688186875
0,0,0,25,1688187139
0,0,0,25,1688187404
0,0,0,25,1688187673
0,0,0,25,1688187938
0,0,0,25,1688188469
0,0,0,25,1688188735
0,0,0,25,1688189000
0,0,0,25,1688189266
0,0,0,25,1688189534
0,0,0,25,1688189800
1,1,0,24,1688190068
1,1,0,24,1688190337
1,1,0,24,1688190870
1,1,0,24,1688191136
1,1,0,24,1688191402
1,1,0,24,1688191667
1,1,0,24,1688191935
1,1,0,24,1688192201
1,1,0,24,1688192465
1,1,0,24,1688192732
1,1,0,24,1688193267
1,1,0,24,1688193532
2,1,1,23,1688193800
2,1,1,23,1688194064
2,1,1,23,1688194332
2,1,1,23,1688194594
2,1,1,23,1688194858
2,1,1,23,1688195387
2,1,1,23,1688195650
