V1,num_bikes_available,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,num_docks_available,last_reported
,20.0,0.0,20.0,6.0,1693910442.0
,20.0,0.0,20.0,6.0,1693910707.0
,20.0,0.0,20.0,6.0,1693910971.0
,20.0,0.0,20.0,6.0,1693911503.0
,20.0,0.0,20.0,6.0,1693911503.0
,19.0,0.0,19.0,7.0,1693912034.0
,19.0,0.0,19.0,7.0,1693912298.0
,18.0,0.0,18.0,8.0,1693912563.0
,17.0,0.0,17.0,9.0,1693912826.0
,19.0,0.0,19.0,7.0,1693913092.0
,20.0,0.0,20.0,6.0,1693913356.0
,19.0,0.0,19.0,7.0,1693913889.0
,18.0,0.0,18.0,8.0,1693914153.0
,16.0,0.0,16.0,10.0,1693914418.0
,15.0,0.0,15.0,11.0,1693914681.0
,16.0,0.0,16.0,10.0,1693914948.0
,15.0,0.0,15.0,11.0,1693915212.0
,15.0,0.0,15.0,11.0,1693915477.0
,11.0,0.0,11.0,15.0,1693916008.0
,11.0,0.0,11.0,15.0,1693916272.0
,12.0,0.0,12.0,14.0,1693916540.0
,11.0,0.0,11.0,15.0,1693916806.0
,11.0,0.0,11.0,15.0,1693917070.0
,11.0,0.0,11.0,15.0,1693917335.0
,10.0,0.0,10.0,16.0,1693917598.0
,9.0,0.0,9.0,17.0,1693918126.0
,9.0,0.0,9.0,17.0,1693918126.0
,9.0,0.0,9.0,17.0,1693918663.0
,9.0,0.0,9.0,17.0,1693918929.0
,6.0,0.0,6.0,20.0,1693919193.0
,6.0,0.0,6.0,20.0,1693919457.0
,4.0,0.0,4.0,22.0,1693919725.0
,4.0,0.0,4.0,22.0,1693919990.0
,3.0,0.0,3.0,23.0,1693920520.0
,3.0,0.0,3.0,23.0,1693920788.0
,3.0,0.0,3.0,23.0,1693921050.0
,2.0,0.0,2.0,24.0,1693921314.0
,2.0,0.0,2.0,24.0,1693921580.0
,1.0,0.0,1.0,25.0,1693922112.0
,1.0,0.0,1.0,25.0,1693922379.0
,0.0,0.0,0.0,26.0,1693922646.0
,1.0,0.0,1.0,25.0,1693923176.0
,2.0,0.0,2.0,24.0,1693923440.0
,0.0,0.0,0.0,26.0,1693923707.0
,0.0,0.0,0.0,26.0,1693923973.0
,0.0,0.0,0.0,26.0,1693924238.0
,0.0,0.0,0.0,26.0,1693924767.0
,0.0,0.0,0.0,26.0,1693924767.0
,0.0,0.0,0.0,26.0,1693925299.0
,0.0,0.0,0.0,26.0,1693925563.0
,0.0,0.0,0.0,26.0,1693925831.0
,0.0,0.0,0.0,26.0,1693926095.0
,0.0,0.0,0.0,26.0,1693926356.0
,0.0,0.0,0.0,26.0,1693926621.0
,0.0,0.0,0.0,26.0,1693926884.0
,1.0,0.0,1.0,25.0,1693927415.0
,1.0,0.0,1.0,25.0,1693927677.0
,0.0,0.0,0.0,26.0,1693927941.0
,0.0,0.0,0.0,26.0,1693928205.0
,0.0,0.0,0.0,26.0,1693928468.0
,0.0,0.0,0.0,26.0,1693928732.0
,0.0,0.0,0.0,26.0,1693929000.0
,0.0,0.0,0.0,26.0,1693929534.0
