hour,day,month,year,week_day,working_day,class_day,exits,temperature_2m,apparent_temperature,relative_humidity_2m,precipitation,rain,wind_speed_10m,demand_satisfied
0,1,1,2021,Friday,0,3,0,6.39,3.5752249,78.873245,0.0,0.0,8.217153,True
1,1,1,2021,Friday,0,3,1,4.89,2.0010529,82.97221,0.0,0.0,7.7879906,True
2,1,1,2021,Friday,0,3,0,4.5899997,1.6764584,84.42607,0.0,0.0,7.8954163,True
3,1,1,2021,Friday,0,3,0,4.49,1.6943207,85.62563,0.0,0.0,7.208994,True
4,1,1,2021,Friday,0,3,0,5.44,2.8761344,81.003426,0.0,0.0,5.8048253,True
5,1,1,2021,Friday,0,3,0,4.14,1.6672893,88.376205,0.0,0.0,5.1165614,True
6,1,1,2021,Friday,0,3,0,4.54,1.2925243,87.47598,0.0,0.0,10.739832,True
7,1,1,2021,Friday,0,3,0,4.29,1.2388792,87.14176,0.0,0.0,9.021574,True
8,1,1,2021,Friday,0,3,0,4.89,2.1083255,84.76137,0.2,0.2,7.42159,True
9,1,1,2021,Friday,0,3,0,6.8399997,4.7353354,82.343925,0.0,0.0,4.73506,True
10,1,1,2021,Friday,0,3,3,7.79,5.88138,83.91225,0.9,0.9,5.0911684,True
11,1,1,2021,Friday,0,3,0,7.89,5.664015,85.68839,0.2,0.2,7.8625183,True
12,1,1,2021,Friday,0,3,0,7.99,6.3188686,83.93582,0.0,0.0,3.7585104,True
13,1,1,2021,Friday,0,3,0,8.490001,6.2732735,77.010414,0.1,0.1,6.4096174,True
14,1,1,2021,Friday,0,3,0,8.54,5.5932198,72.314354,0.0,0.0,10.239453,True
15,1,1,2021,Friday,0,3,1,8.14,5.533901,75.883255,0.0,0.0,8.311245,True
16,1,1,2021,Friday,0,3,1,7.69,4.841053,75.807434,0.0,0.0,9.3669195,True
17,1,1,2021,Friday,0,3,0,6.79,4.2552395,77.552444,0.0,0.0,6.489992,True
18,1,1,2021,Friday,0,3,0,6.24,3.6690998,79.97497,0.0,0.0,6.6087217,True
