num_bikes_available,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,num_docks_available,last_reported
0,0,0,28,1664575093
0,0,0,28,1664575362
0,0,0,28,1664575626
0,0,0,28,1664575893
0,0,0,28,1664576161
0,0,0,28,1664576697
0,0,0,28,1664576962
0,0,0,28,1664577226
0,0,0,28,1664577492
0,0,0,28,1664577761
0,0,0,28,1664578025
0,0,0,28,1664578292
0,0,0,28,1664578554
0,0,0,28,1664579091
10,9,1,18,1664579355
15,13,2,13,1664579621
16,13,3,12,1664579891
16,13,3,12,1664580156
16,13,3,11,1664580423
16,13,3,11,1664580690
16,13,3,11,1664580958
17,14,3,10,1664581485
17,14,3,10,1664581751
17,14,3,10,1664582018
17,14,3,10,1664582285
17,14,3,10,1664582552
17,14,3,10,1664582817
18,14,4,10,1664583082
18,14,4,10,1664583346
17,14,3,11,1664583877
17,14,3,11,1664584146
17,14,3,11,1664584415
17,14,3,11,1664584683
17,14,3,11,1664584950
17,14,3,11,1664585217
17,14,3,11,1664585484
17,14,3,11,1664585749
17,14,3,11,1664586283
17,14,3,11,1664586553
15,14,1,13,1664586822
15,14,1,13,1664587091
15,14,1,13,1664587359
15,14,1,13,1664587626
15,14,1,13,1664587893
15,14,1,13,1664588161
16,15,1,12,1664588693
15,14,1,13,1664588962
15,14,1,13,1664589229
14,14,0,14,1664589497
14,14,0,14,1664589765
14,14,0,14,1664590031
14,14,0,14,1664590297
14,14,0,14,1664590558
14,14,0,14,1664591088
14,14,0,14,1664591356
14,14,0,14,1664591622
14,14,0,14,1664591887
14,14,0,14,1664592155
14,14,0,14,1664592421
15,15,0,13,1664592684
14,14,0,14,1664592952
14,14,0,14,1664593485
14,14,0,14,1664593752
14,14,0,14,1664594054
14,14,0,14,1664594316
14,14,0,14,1664594575
14,14,0,14,1664594833
14,14,0,14,1664595094
14,14,0,14,1664595352
14,14,0,14,1664595614
14,14,0,14,1664596188
14,14,0,14,1664596458
14,14,0,14,1664596725
14,14,0,14,1664596992
14,14,0,14,1664597258
14,14,0,14,1664597524
14,14,0,14,1664597789
14,14,0,14,1664598056
14,14,0,14,1664598324
14,14,0,14,1664598857
14,14,0,14,1664599123
14,14,0,14,1664599389
14,14,0,14,1664599656
14,14,0,14,1664599923
14,14,0,14,1664600190
14,14,0,14,1664600460
14,14,0,14,1664600727
14,14,0,14,1664601259
14,14,0,14,1664601525
14,14,0,14,1664601794
14,14,0,14,1664602060
14,14,0,14,1664602326
14,14,0,14,1664602592
14,14,0,14,1664602859
14,14,0,14,1664603125
14,14,0,14,1664603661
14,14,0,14,1664603931
14,14,0,14,1664604193
14,14,0,14,1664604458
14,14,0,14,1664604724
14,14,0,14,1664604993
14,14,0,14,1664605260
14,14,0,14,1664605789
14,14,0,14,1664606057
14,14,0,14,1664606323
14,14,0,14,1664606590
14,14,0,14,1664606856
13,13,0,15,1664607123
13,13,0,15,1664607388
13,13,0,15,1664607655
13,13,0,15,1664608190
13,13,0,15,1664608457
14,13,1,14,1664608723
14,13,1,14,1664608991
14,13,1,14,1664609254
14,13,1,14,1664609522
15,13,2,13,1664609788
15,13,2,13,1664610054
15,13,2,13,1664610589
15,13,2,13,1664610856
16,13,3,12,1664611122
16,13,3,12,1664611390
16,13,3,12,1664611657
16,13,3,12,1664611923
16,13,3,12,1664612189
15,13,2,13,1664612457
15,13,2,13,1664612989
15,13,2,13,1664613257
15,13,2,13,1664613527
15,13,2,13,1664613792
15,13,2,13,1664614061
15,13,2,13,1664614328
15,13,2,13,1664614595
15,13,2,13,1664614865
15,13,2,13,1664615133
15,13,2,13,1664615670
14,13,1,14,1664615936
14,13,1,14,1664616205
14,13,1,14,1664616471
15,13,2,13,1664616737
15,13,2,13,1664617002
15,13,2,13,1664617267
15,13,2,13,1664617538
15,13,2,13,1664618066
15,13,2,13,1664618332
15,13,2,13,1664618597
14,12,2,14,1664618863
14,12,2,14,1664619129
13,12,1,15,1664619397
12,11,1,16,1664619665
12,11,1,16,1664619931
12,11,1,16,1664620465
12,11,1,16,1664620730
12,11,1,16,1664620996
12,11,1,16,1664621264
12,11,1,16,1664621532
11,10,1,17,1664621799
11,10,1,17,1664622067
10,9,1,18,1664622596
10,9,1,18,1664622861
10,9,1,18,1664623128
10,9,1,18,1664623396
10,9,1,18,1664623665
10,9,1,18,1664623933
10,9,1,18,1664624197
10,9,1,18,1664624467
10,9,1,18,1664624736
10,9,1,18,1664625272
10,9,1,18,1664625538
10,9,1,18,1664625803
10,9,1,18,1664626069
10,9,1,18,1664626335
