num_bikes_available,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,num_docks_available,last_reported
0,0,0,27,1669849136
0,0,0,27,1669849401
0,0,0,27,1669849666
0,0,0,27,1669849936
0,0,0,27,1669850202
0,0,0,27,1669850470
0,0,0,27,1669850734
0,0,0,27,1669851265
0,0,0,27,1669851534
0,0,0,27,1669851798
0,0,0,27,1669852066
0,0,0,27,1669852378
0,0,0,27,1669852645
0,0,0,27,1669852914
0,0,0,27,1669853182
0,0,0,27,1669853448
0,0,0,27,1669853983
0,0,0,28,1669854242
0,0,0,28,1669854511
0,0,0,28,1669854778
0,0,0,28,1669855044
0,0,0,28,1669855312
0,0,0,28,1669855578
0,0,0,28,1669855847
0,0,0,28,1669856377
0,0,0,28,1669856645
0,0,0,28,1669856914
0,0,0,28,1669857180
0,0,0,28,1669857441
0,0,0,28,1669857707
0,0,0,28,1669857972
0,0,0,28,1669858237
0,0,0,28,1669858769
0,0,0,28,1669859036
0,0,0,28,1669859302
0,0,0,28,1669859568
0,0,0,28,1669859837
0,0,0,28,1669860103
0,0,0,28,1669860371
0,0,0,28,1669860639
0,0,0,28,1669861169
0,0,0,28,1669861437
0,0,0,28,1669861704
0,0,0,28,1669861970
0,0,0,28,1669862233
0,0,0,28,1669862500
0,0,0,28,1669862760
0,0,0,28,1669863028
0,0,0,28,1669863561
0,0,0,28,1669863826
0,0,0,28,1669864092
0,0,0,28,1669864357
0,0,0,28,1669864623
0,0,0,28,1669864890
0,0,0,28,1669865156
0,0,0,28,1669865683
0,0,0,28,1669865950
0,0,0,28,1669866214
0,0,0,28,1669866480
0,0,0,28,1669866748
0,0,0,28,1669867014
0,0,0,28,1669867282
0,0,0,28,1669867549
0,0,0,28,1669868082
0,0,0,28,1669868349
0,0,0,28,1669868613
0,0,0,28,1669868881
0,0,0,28,1669869145
0,0,0,28,1669869412
0,0,0,28,1669869676
0,0,0,28,1669869945
0,0,0,28,1669870480
0,0,0,28,1669870748
0,0,0,28,1669871014
0,0,0,28,1669871279
0,0,0,28,1669871548
0,0,0,28,1669871816
0,0,0,28,1669872083
0,0,0,28,1669872349
0,0,0,28,1669872884
0,0,0,28,1669873151
0,0,0,28,1669873416
0,0,0,28,1669873684
0,0,0,28,1669873953
0,0,0,28,1669874221
0,0,0,28,1669874488
0,0,0,28,1669874755
0,0,0,28,1669875291
0,0,0,28,1669875559
0,0,0,28,1669875826
0,0,0,28,1669876093
0,0,0,27,1669876354
0,0,0,27,1669876621
2,0,2,25,1669876886
6,1,5,21,1669877149
11,1,10,16,1669877684
18,1,17,9,1669877952
23,1,22,4,1669878221
27,1,26,0,1669878489
27,1,26,0,1669878757
27,1,26,0,1669879024
27,1,26,0,1669879287
27,1,26,0,1669879554
27,1,26,0,1669880084
26,0,26,1,1669880352
25,0,25,2,1669880617
