num_bikes_available,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,num_docks_available,last_reported
9,0,9,19,1672527521
9,0,9,19,1672527789
9,0,9,19,1672528057
9,0,9,19,1672528324
9,0,9,19,1672528592
9,0,9,19,1672528857
9,0,9,19,1672529122
9,0,9,19,1672529657
8,0,8,20,1672529924
8,0,8,20,1672530193
8,0,8,20,1672530461
8,0,8,20,1672530728
8,0,8,20,1672530991
8,0,8,20,1672531259
8,0,8,20,1672531527
8,0,8,20,1672532059
8,0,8,20,1672532327
8,0,8,20,1672532595
8,0,8,20,1672532860
8,0,8,20,1672533128
8,0,8,20,1672533394
8,0,8,20,1672533662
9,0,9,19,1672533929
9,0,9,19,1672534464
9,0,9,19,1672534730
9,0,9,19,1672534997
9,0,9,19,1672535266
9,0,9,19,1672535532
9,0,9,19,1672535795
9,0,9,19,1672536064
9,0,9,19,1672536329
9,0,9,19,1672536864
9,0,9,19,1672537131
9,0,9,19,1672537395
9,0,9,19,1672537660
9,0,9,19,1672537928
9,0,9,19,1672538194
9,0,9,19,1672538459
9,0,9,19,1672538989
9,0,9,19,1672539256
9,0,9,19,1672539522
9,0,9,19,1672539790
10,0,10,18,1672540058
10,0,10,18,1672540326
10,0,10,18,1672540594
10,0,10,18,1672540862
10,0,10,18,1672541164
10,0,10,18,1672541424
10,0,10,18,1672541945
10,0,10,18,1672542206
10,0,10,18,1672542465
10,0,10,18,1672542728
10,0,10,18,1672543028
10,0,10,18,1672543298
10,0,10,18,1672543565
10,0,10,18,1672543828
10,0,10,18,1672544361
10,0,10,18,1672544626
10,0,10,18,1672544890
10,0,10,18,1672545153
9,0,9,19,1672545414
9,0,9,19,1672545678
9,0,9,19,1672545942
9,0,9,19,1672546472
9,0,9,19,1672546740
9,0,9,19,1672547005
9,0,9,19,1672547272
9,0,9,19,1672547535
9,0,9,19,1672547799
9,0,9,19,1672548066
9,0,9,19,1672548327
9,0,9,19,1672548854
10,0,10,18,1672549119
10,0,10,18,1672549384
10,0,10,18,1672549649
10,0,10,18,1672549915
10,0,10,18,1672550178
10,0,10,18,1672550442
10,0,10,18,1672550972
10,0,10,18,1672551236
