num_bikes_available,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,num_docks_available,last_reported
1,0,1,27,1677624936
2,0,2,26,1677625470
3,0,3,25,1677625736
3,0,3,25,1677626004
3,0,3,25,1677626272
2,0,2,26,1677626535
2,0,2,26,1677626801
2,0,2,26,1677627068
2,0,2,26,1677627336
2,0,2,26,1677627870
2,0,2,26,1677628134
2,0,2,26,1677628402
2,0,2,26,1677628667
2,0,2,26,1677628933
2,0,2,26,1677629201
2,0,2,26,1677629466
2,0,2,26,1677629999
2,0,2,26,1677630268
2,0,2,26,1677630537
2,0,2,26,1677630804
2,0,2,26,1677631072
1,0,1,27,1677631340
1,0,1,27,1677631608
1,0,1,27,1677631875
1,0,1,27,1677632143
1,0,1,27,1677632673
1,0,1,27,1677632940
1,0,1,27,1677633204
1,0,1,27,1677633470
1,0,1,27,1677633735
1,0,1,27,1677634002
1,0,1,27,1677634266
1,0,1,27,1677634535
1,0,1,27,1677635073
1,0,1,27,1677635341
1,0,1,27,1677635610
1,0,1,27,1677635912
1,0,1,27,1677636176
1,0,1,27,1677636437
1,0,1,27,1677636701
1,0,1,27,1677636963
1,0,1,27,1677637489
1,0,1,27,1677637489
1,0,1,27,1677638058
1,0,1,27,1677638327
1,0,1,27,1677638593
1,0,1,27,1677638862
1,0,1,27,1677639131
1,0,1,27,1677639397
1,0,1,27,1677639665
1,0,1,27,1677640197
1,0,1,27,1677640464
1,0,1,27,1677640728
1,0,1,27,1677640995
1,0,1,27,1677641263
1,0,1,27,1677641533
1,0,1,27,1677641801
1,0,1,27,1677642068
1,0,1,27,1677642334
1,0,1,27,1677642865
1,0,1,27,1677643133
1,0,1,27,1677643401
1,0,1,27,1677643668
1,0,1,27,1677643937
1,0,1,27,1677644204
1,0,1,27,1677644474
1,0,1,27,1677644744
1,0,1,27,1677645278
1,0,1,27,1677645548
1,0,1,27,1677645814
1,0,1,27,1677646083
1,0,1,27,1677646352
1,0,1,27,1677646619
1,0,1,27,1677646884
1,0,1,27,1677647148
1,0,1,27,1677647684
1,0,1,27,1677647951
1,0,1,27,1677648219
1,0,1,27,1677648486
1,0,1,27,1677648752
1,0,1,27,1677649021
1,0,1,27,1677649288
1,0,1,27,1677649555
1,0,1,27,1677650088
1,0,1,27,1677650356
1,0,1,27,1677650623
1,0,1,27,1677650891
1,0,1,27,1677651158
1,0,1,27,1677651425
1,0,1,27,1677651692
1,0,1,27,1677651960
1,0,1,27,1677652479
1,0,1,27,1677652738
2,0,2,26,1677652996
2,0,2,26,1677653261
9,0,9,19,1677653530
18,1,17,10,1677653797
22,1,21,6,1677654060
26,1,25,2,1677654328
28,1,27,0,1677654859
28,2,26,0,1677655127
28,2,26,0,1677655394
28,2,26,0,1677655662
28,2,26,0,1677655929
15,1,14,13,1677656192
14,0,14,14,1677656454
14,0,14,14,1677656986
15,0,15,13,1677657251
16,0,16,12,1677657518
19,0,19,9,1677657782
19,0,19,9,1677658052
20,0,20,8,1677658319
21,0,21,7,1677658589
21,0,21,7,1677658854
21,0,21,7,1677659122
22,0,22,6,1677659656
22,0,22,6,1677659924
22,0,22,6,1677660191
22,0,22,6,1677660458
22,0,22,6,1677660720
22,0,22,6,1677660985
23,0,23,5,1677661251
24,1,23,4,1677661782
27,2,25,1,1677662046
27,2,25,1,1677662314
27,2,25,1,1677662581
26,2,24,1,1677662845
26,1,25,2,1677663114
25,1,24,3,1677663378
25,1,24,3,1677663646
26,2,24,2,1677664181
26,2,24,1,1677664449
27,2,25,1,1677664716
27,2,25,1,1677664985
24,2,22,4,1677665251
23,2,21,5,1677665516
23,2,21,5,1677665781
23,2,21,5,1677666047
23,2,21,5,1677666579
22,2,20,6,1677666845
21,2,19,7,1677667112
21,2,19,7,1677667379
21,2,19,7,1677667645
20,1,19,7,1677667910
22,1,21,6,1677668174
20,1,19,8,1677668440
20,1,19,8,1677668973
19,1,18,9,1677669236
17,1,16,11,1677669502
16,0,16,12,1677669770
17,0,17,11,1677670039
18,0,18,10,1677670307
17,0,17,11,1677670573
15,0,15,13,1677670840
14,0,14,14,1677671373
15,0,15,13,1677671639
15,0,15,13,1677671906
15,0,15,13,1677672174
11,0,11,17,1677672439
11,0,11,17,1677672706
10,0,10,18,1677672973
10,0,10,18,1677673241
11,0,11,17,1677673778
11,0,11,17,1677674046
11,0,11,17,1677674311
10,0,10,18,1677674577
9,0,9,19,1677674844
9,0,9,19,1677675110
10,0,10,18,1677675379
8,0,8,20,1677675647
6,0,6,22,1677676180
3,0,3,25,1677676447
1,0,1,27,1677676715
1,0,1,27,1677676983
1,0,1,27,1677677246
2,0,2,26,1677677515
1,0,1,27,1677677782
1,0,1,27,1677678050
3,0,3,25,1677678582
4,0,4,24,1677678850
6,0,6,22,1677679115
7,0,7,21,1677679383
8,0,8,20,1677679651
7,0,7,21,1677679917
8,0,8,20,1677680183
8,0,8,20,1677680451
8,0,8,20,1677680981
10,0,10,18,1677681249
10,0,10,18,1677681517
9,0,9,19,1677681781
9,0,9,19,1677682049
11,0,11,17,1677682311
12,0,12,16,1677682574
12,0,12,16,1677682841
12,0,12,16,1677683368
11,0,11,17,1677683631
11,0,11,17,1677683892
11,0,11,17,1677684161
10,0,10,18,1677684424
10,0,10,18,1677684687
10,0,10,18,1677684951
10,0,10,18,1677685477
10,0,10,18,1677685745
9,0,9,19,1677686013
9,0,9,19,1677686278
3,0,3,25,1677686542
3,0,3,25,1677686808
3,0,3,25,1677687073
3,0,3,25,1677687341
3,0,3,25,1677687872
3,0,3,25,1677688142
0,0,0,28,1677688404
1,0,1,27,1677688669
1,0,1,27,1677688937
0,0,0,28,1677689206
0,0,0,28,1677689472
1,0,1,27,1677689741
0,0,0,28,1677690270
0,0,0,28,1677690536
0,0,0,28,1677690799
0,0,0,28,1677691066
1,0,1,27,1677691336
0,0,0,28,1677691602
0,0,0,28,1677691871
0,0,0,28,1677692141
0,0,0,28,1677692675
0,0,0,28,1677692942
0,0,0,28,1677693211
0,0,0,28,1677693473
0,0,0,28,1677693738
0,0,0,28,1677694006
0,0,0,28,1677694273
0,0,0,28,1677694539
2,0,2,26,1677695070
1,0,1,27,1677695336
1,0,1,27,1677695602
2,0,2,26,1677695869
2,0,2,26,1677696135
1,0,1,27,1677696403
1,0,1,27,1677696672
1,0,1,27,1677696941
1,0,1,27,1677697475
1,0,1,27,1677697743
0,0,0,28,1677698010
0,0,0,28,1677698278
0,0,0,28,1677698543
0,0,0,28,1677698809
1,0,1,27,1677699078
0,0,0,28,1677699347
1,0,1,27,1677699882
1,0,1,27,1677700148
2,0,2,26,1677700419
1,0,1,27,1677700686
0,0,0,28,1677700952
0,0,0,28,1677701220
0,0,0,28,1677701488
0,0,0,28,1677701750
1,0,1,27,1677702284
1,0,1,27,1677702547
1,0,1,27,1677702815
1,0,1,27,1677703077
1,0,1,27,1677703341
0,0,0,28,1677703609
0,0,0,28,1677703874
0,0,0,28,1677704142
0,0,0,28,1677704674
0,0,0,28,1677704943
0,0,0,28,1677705211
0,0,0,28,1677705480
0,0,0,28,1677705746
0,0,0,28,1677706012
0,0,0,28,1677706282
0,0,0,28,1677706549
0,0,0,28,1677707080
0,0,0,28,1677707346
0,0,0,28,1677707608
0,0,0,28,1677707876
0,0,0,28,1677708140
0,0,0,28,1677708406
0,0,0,28,1677708674
0,0,0,28,1677708942
0,0,0,28,1677709478
0,0,0,28,1677709744
0,0,0,28,1677710011
0,0,0,28,1677710279
0,0,0,28,1677710542
0,0,0,28,1677710811
1,0,1,27,1677711080
1,0,1,27,1677711348
1,0,1,27,1677711882
1,0,1,27,1677712148
1,0,1,27,1677712416
1,0,1,27,1677712684
0,0,0,28,1677712951
0,0,0,28,1677713215
0,0,0,28,1677713482
0,0,0,28,1677713750
0,0,0,28,1677714287
0,0,0,28,1677714554
0,0,0,28,1677714822
0,0,0,28,1677715086
0,0,0,28,1677715356
0,0,0,28,1677715622
0,0,0,28,1677715889
0,0,0,28,1677716157
0,0,0,28,1677716426
0,0,0,28,1677716961
0,0,0,28,1677717229
0,0,0,28,1677717498
0,0,0,28,1677717766
0,0,0,28,1677718031
0,0,0,28,1677718298
0,0,0,28,1677718562
0,0,0,28,1677718826
0,0,0,28,1677719362
0,0,0,28,1677719627
0,0,0,28,1677719893
0,0,0,28,1677720161
0,0,0,28,1677720424
0,0,0,28,1677720688
0,0,0,28,1677720953
0,0,0,28,1677721489
0,0,0,28,1677721755
0,0,0,28,1677722021
0,0,0,28,1677722289
0,0,0,28,1677722556
0,0,0,28,1677722826
0,0,0,28,1677723090
0,0,0,28,1677723357
0,0,0,28,1677723886
0,0,0,28,1677723886
0,0,0,28,1677724449
0,0,0,28,1677724710
0,0,0,28,1677724974
0,0,0,28,1677725235
0,0,0,28,1677725493
0,0,0,28,1677725758
0,0,0,28,1677726059
0,0,0,28,1677726326
0,0,0,28,1677726862
0,0,0,28,1677727126
0,0,0,28,1677727394
0,0,0,28,1677727662
4,1,3,24,1677727928
4,1,3,24,1677728192
4,1,3,24,1677728460
4,1,3,24,1677728997
4,1,3,24,1677729260
3,1,2,25,1677729527
3,1,2,25,1677729790
3,1,2,25,1677730053
3,1,2,25,1677730321
3,1,2,25,1677730587
3,1,2,25,1677730854
3,1,2,25,1677731391
3,1,2,25,1677731655
3,1,2,25,1677731919
3,1,2,25,1677732187
3,1,2,25,1677732456
3,1,2,25,1677732723
3,1,2,25,1677732990
3,1,2,25,1677733257
3,1,2,25,1677733525
3,1,2,25,1677734062
3,1,2,25,1677734327
3,1,2,25,1677734596
3,1,2,25,1677734860
3,1,2,25,1677735127
3,1,2,25,1677735395
3,1,2,25,1677735662
3,1,2,25,1677736197
3,1,2,25,1677736466
3,1,2,25,1677736734
3,1,2,25,1677736999
3,1,2,25,1677737267
3,1,2,25,1677737535
3,1,2,25,1677737803
3,1,2,25,1677738071
3,1,2,25,1677738339
3,1,2,25,1677738872
2,1,1,26,1677739140
2,1,1,26,1677739409
3,1,2,25,1677739679
4,1,3,24,1677739947
11,2,9,17,1677740216
15,2,13,13,1677740482
17,2,15,11,1677740749
17,2,15,11,1677741284
19,2,17,9,1677741552
20,3,17,8,1677741818
20,3,17,8,1677742082
20,3,17,8,1677742349
20,3,17,8,1677742618
22,3,19,6,1677742882
23,3,20,5,1677743151
23,3,20,5,1677743685
27,3,24,1,1677743951
27,3,24,1,1677744221
26,3,23,2,1677744484
26,3,23,2,1677744751
26,3,23,2,1677745015
27,3,24,1,1677745279
27,3,24,1,1677745549
27,3,24,1,1677746085
27,3,24,1,1677746352
27,3,24,1,1677746621
27,3,24,1,1677746886
27,3,24,1,1677747155
27,3,24,1,1677747420
27,3,24,1,1677747687
27,3,24,1,1677747952
27,3,24,1,1677748486
27,3,24,1,1677748752
27,3,24,1,1677749018
27,3,24,1,1677749282
27,3,24,1,1677749547
27,3,24,1,1677749815
27,3,24,1,1677750076
27,3,24,1,1677750345
27,3,24,1,1677750877
27,3,24,1,1677751142
27,3,24,1,1677751410
27,3,24,1,1677751678
27,3,24,1,1677751942
27,3,24,1,1677752210
27,3,24,1,1677752477
27,3,24,1,1677752744
27,3,24,1,1677753275
27,3,24,1,1677753541
27,3,24,1,1677753809
26,3,23,2,1677754075
27,2,25,1,1677754345
27,2,25,1,1677754613
23,2,21,5,1677754882
20,2,18,8,1677755149
20,2,18,8,1677755680
19,1,18,8,1677755944
18,2,16,10,1677756210
17,2,15,11,1677756477
15,2,13,13,1677756747
15,2,13,13,1677757010
14,2,12,14,1677757275
13,1,12,15,1677757543
13,1,12,15,1677758078
12,0,12,15,1677758340
13,1,12,15,1677758608
11,1,10,17,1677758875
8,1,7,20,1677759142
6,0,6,21,1677759405
7,0,7,21,1677759670
7,0,7,21,1677759939
7,0,7,21,1677760473
7,0,7,21,1677760737
6,0,6,22,1677761000
8,0,8,20,1677761269
6,0,6,22,1677761534
5,0,5,22,1677761798
6,0,6,21,1677762065
5,0,5,23,1677762596
5,0,5,23,1677762862
5,0,5,22,1677763131
4,0,4,23,1677763400
5,0,5,22,1677763668
5,0,5,22,1677763932
3,0,3,24,1677764198
5,0,5,22,1677764467
7,0,7,20,1677765002
7,0,7,20,1677765268
7,0,7,20,1677765535
8,0,8,19,1677765803
8,0,8,19,1677766071
7,0,7,20,1677766337
7,0,7,20,1677766603
7,0,7,20,1677766871
7,0,7,20,1677767137
7,0,7,20,1677767676
8,0,8,19,1677767944
5,0,5,22,1677768211
8,0,8,19,1677768473
8,0,8,19,1677768737
7,0,7,20,1677769003
6,0,6,21,1677769267
6,0,6,21,1677769801
5,0,5,22,1677770071
4,0,4,23,1677770339
4,0,4,23,1677770605
3,0,3,24,1677770872
2,0,2,25,1677771142
2,0,2,25,1677771407
1,0,1,26,1677771674
1,0,1,26,1677771939
1,0,1,26,1677772475
2,0,2,25,1677772738
2,0,2,25,1677773004
13,12,1,14,1677773272
20,18,2,7,1677773541
18,16,2,9,1677773807
18,16,2,9,1677774076
18,16,2,9,1677774344
17,15,2,10,1677774879
15,14,1,12,1677775146
14,14,0,13,1677775411
15,13,2,12,1677775677
15,13,2,12,1677775943
16,13,3,11,1677776207
15,12,3,11,1677776475
16,12,4,11,1677776742
14,11,3,13,1677777007
12,11,1,15,1677777542
11,10,1,16,1677777809
8,8,0,19,1677778077
7,7,0,20,1677778346
3,3,0,24,1677778615
5,4,1,22,1677778880
4,4,0,23,1677779146
5,3,2,21,1677779681
4,3,1,23,1677779945
2,1,1,23,1677780214
3,2,1,24,1677780479
0,0,0,26,1677780744
2,2,0,25,1677781011
2,2,0,25,1677781279
0,0,0,27,1677781547
0,0,0,27,1677782085
0,0,0,27,1677782351
0,0,0,27,1677782619
1,1,0,26,1677782885
0,0,0,27,1677783148
0,0,0,27,1677783414
0,0,0,27,1677783676
0,0,0,27,1677783943
0,0,0,27,1677784479
0,0,0,27,1677784745
0,0,0,27,1677785011
1,0,1,26,1677785276
0,0,0,27,1677785540
0,0,0,27,1677785806
1,0,1,27,1677786073
1,0,1,27,1677786338
0,0,0,28,1677786871
0,0,0,28,1677787139
0,0,0,28,1677787409
0,0,0,28,1677787676
0,0,0,28,1677787944
0,0,0,28,1677788212
0,0,0,28,1677788477
0,0,0,28,1677788744
0,0,0,28,1677789010
1,0,1,27,1677789544
1,0,1,27,1677789812
1,1,0,27,1677790077
1,1,0,27,1677790347
0,0,0,28,1677790616
0,0,0,28,1677790883
0,0,0,28,1677791148
0,0,0,28,1677791416
0,0,0,28,1677791946
0,0,0,28,1677792212
0,0,0,28,1677792479
0,0,0,28,1677792743
0,0,0,28,1677793012
0,0,0,28,1677793277
0,0,0,28,1677793545
0,0,0,28,1677794074
0,0,0,28,1677794339
0,0,0,28,1677794606
0,0,0,28,1677794875
0,0,0,28,1677795143
1,0,1,27,1677795412
1,0,1,27,1677795679
1,0,1,27,1677795943
1,0,1,27,1677796478
1,0,1,27,1677796745
1,0,1,27,1677797012
1,0,1,27,1677797279
0,0,0,28,1677797546
0,0,0,28,1677797814
1,0,1,27,1677798079
1,0,1,27,1677798384
1,0,1,27,1677798701
1,0,1,27,1677798963
1,0,1,27,1677799229
1,0,1,27,1677799762
0,0,0,28,1677800027
0,0,0,28,1677800290
0,0,0,28,1677800556
0,0,0,28,1677800824
0,0,0,28,1677801089
0,0,0,28,1677801353
0,0,0,28,1677801878
0,0,0,28,1677802143
0,0,0,28,1677802405
