num_bikes_available,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,num_docks_available,last_reported
0,0,0,28,1680299765
0,0,0,28,1680300031
0,0,0,28,1680300564
0,0,0,28,1680300833
0,0,0,28,1680301097
0,0,0,28,1680301363
0,0,0,28,1680301629
0,0,0,28,1680301897
0,0,0,28,1680302162
0,0,0,28,1680302691
0,0,0,28,1680302958
0,0,0,28,1680303224
0,0,0,28,1680303491
0,0,0,28,1680303759
1,0,1,27,1680304025
1,0,1,27,1680304291
1,0,1,27,1680304556
1,0,1,27,1680304824
2,0,2,26,1680305351
2,0,2,26,1680305618
2,0,2,26,1680305884
2,0,2,26,1680306151
2,0,2,26,1680306414
2,0,2,26,1680306679
2,0,2,26,1680306946
2,0,2,26,1680307475
2,0,2,26,1680307739
2,0,2,26,1680308002
2,0,2,26,1680308266
5,0,5,23,1680308534
5,0,5,23,1680308800
5,0,5,23,1680309069
5,0,5,23,1680309334
5,0,5,23,1680309862
6,1,5,22,1680310164
6,1,5,22,1680310425
3,1,2,25,1680310686
3,1,2,25,1680310946
3,1,2,25,1680311209
3,1,2,25,1680311471
3,1,2,25,1680311738
3,1,2,25,1680312039
3,1,2,25,1680312571
3,1,2,25,1680312838
3,1,2,25,1680313102
3,1,2,25,1680313368
3,1,2,25,1680313635
3,1,2,25,1680313901
3,1,2,25,1680314168
3,1,2,25,1680314434
3,1,2,25,1680314968
3,1,2,25,1680315235
3,1,2,25,1680315503
4,2,2,24,1680315772
4,2,2,24,1680316037
4,2,2,24,1680316304
3,2,1,25,1680316573
3,2,1,25,1680316836
3,2,1,25,1680317367
3,2,1,25,1680317634
3,2,1,25,1680317899
3,2,1,25,1680318166
3,2,1,25,1680318434
3,2,1,25,1680318701
3,2,1,25,1680318966
3,2,1,25,1680319233
3,2,1,25,1680319763
3,2,1,25,1680320031
3,2,1,25,1680320299
3,2,1,25,1680320567
4,2,2,24,1680320832
4,2,2,24,1680321097
4,2,2,24,1680321361
4,2,2,24,1680321891
4,2,2,24,1680322158
4,2,2,24,1680322424
4,2,2,24,1680322690
4,2,2,24,1680322956
4,2,2,24,1680323222
4,2,2,24,1680323489
4,2,2,24,1680323752
4,2,2,24,1680324019
4,2,2,24,1680324550
3,1,2,24,1680324817
3,2,1,25,1680325087
3,2,1,25,1680325356
3,2,1,25,1680325622
3,2,1,25,1680325888
3,2,1,25,1680326155
3,2,1,25,1680326690
3,2,1,25,1680326955
3,2,1,25,1680327219
3,2,1,25,1680327482
3,2,1,25,1680327747
3,2,1,25,1680328009
3,2,1,25,1680328271
3,2,1,25,1680328532
3,2,1,25,1680329061
