num_bikes_available,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,num_docks_available,last_reported
1,0,1,27,1682891698
1,0,1,27,1682892259
1,0,1,27,1682892520
1,0,1,27,1682892779
1,0,1,27,1682893049
1,0,1,27,1682893311
1,0,1,27,1682893570
1,0,1,27,1682893873
1,0,1,27,1682894138
1,0,1,27,1682894672
1,0,1,27,1682894937
1,0,1,27,1682895204
1,0,1,27,1682895472
1,0,1,27,1682895738
1,0,1,27,1682896005
1,0,1,27,1682896269
1,0,1,27,1682896538
1,0,1,27,1682897071
1,0,1,27,1682897337
1,0,1,27,1682897604
1,0,1,27,1682897873
1,0,1,27,1682898140
2,0,2,26,1682898404
2,0,2,26,1682898668
2,0,2,26,1682898934
2,0,2,26,1682899470
2,0,2,26,1682899737
2,0,2,26,1682900004
2,0,2,26,1682900271
2,0,2,26,1682900538
2,0,2,26,1682900802
2,0,2,26,1682901068
2,0,2,26,1682901336
2,0,2,26,1682901867
2,0,2,26,1682902135
2,0,2,26,1682902404
2,0,2,26,1682902671
2,0,2,26,1682902937
2,0,2,26,1682903201
2,0,2,26,1682903466
2,0,2,26,1682903732
2,0,2,26,1682904265
2,0,2,26,1682904533
2,0,2,26,1682904795
2,0,2,26,1682905063
2,0,2,26,1682905331
2,0,2,26,1682905599
2,0,2,26,1682905865
2,0,2,26,1682906133
2,0,2,26,1682906669
2,0,2,26,1682906935
2,0,2,26,1682907203
2,0,2,26,1682907469
2,0,2,26,1682907737
2,0,2,26,1682908005
2,0,2,26,1682908270
2,0,2,26,1682908537
2,0,2,26,1682909072
2,0,2,26,1682909337
2,0,2,26,1682909604
2,0,2,26,1682909870
2,0,2,26,1682910135
2,0,2,26,1682910401
2,0,2,26,1682910667
2,0,2,26,1682910937
2,0,2,26,1682911467
2,0,2,26,1682911736
2,0,2,26,1682912003
2,0,2,26,1682912270
2,0,2,26,1682912537
1,0,1,27,1682912806
1,0,1,27,1682913074
1,0,1,27,1682913341
1,0,1,27,1682913873
1,0,1,27,1682914139
1,0,1,27,1682914404
1,0,1,27,1682914669
1,0,1,27,1682914936
1,0,1,27,1682915204
1,0,1,27,1682915468
1,0,1,27,1682915734
1,0,1,27,1682916265
1,0,1,27,1682916530
1,0,1,27,1682916795
1,0,1,27,1682917063
1,0,1,27,1682917331
1,0,1,27,1682917598
1,0,1,27,1682917865
1,0,1,27,1682918132
1,0,1,27,1682918663
1,0,1,27,1682918930
1,0,1,27,1682919197
1,0,1,27,1682919464
1,0,1,27,1682919732
1,0,1,27,1682920000
1,0,1,27,1682920268
1,0,1,27,1682920534
1,0,1,27,1682921069
1,0,1,27,1682921336
1,0,1,27,1682921603
1,0,1,27,1682921870
1,0,1,27,1682922139
1,0,1,27,1682922399
1,0,1,27,1682922663
1,0,1,27,1682922929
1,0,1,27,1682923461
1,0,1,27,1682923727
2,0,2,26,1682923991
3,0,3,25,1682924258
3,0,3,25,1682924523
3,0,3,25,1682924788
4,0,4,24,1682925058
4,0,4,24,1682925591
4,0,4,24,1682925857
4,0,4,24,1682926124
4,0,4,24,1682926389
4,0,4,24,1682926655
4,0,4,24,1682926922
4,0,4,24,1682927190
4,0,4,24,1682927457
4,0,4,24,1682927725
4,0,4,24,1682928258
4,0,4,24,1682928526
4,0,4,24,1682928794
4,0,4,24,1682929060
4,0,4,24,1682929326
4,0,4,24,1682929594
4,0,4,24,1682929863
4,0,4,24,1682930131
3,0,3,25,1682930664
2,0,2,26,1682930930
2,0,2,26,1682931199
2,0,2,26,1682931467
3,0,3,25,1682931734
3,0,3,25,1682932003
5,0,5,23,1682932270
5,0,5,23,1682932536
5,0,5,23,1682933065
3,0,3,25,1682933330
3,0,3,25,1682933596
4,0,4,24,1682933862
4,0,4,24,1682934127
3,0,3,25,1682934396
3,0,3,25,1682934664
3,0,3,25,1682934931
3,0,3,25,1682935465
3,0,3,25,1682935730
3,0,3,25,1682935996
3,0,3,25,1682936264
2,0,2,26,1682936531
1,0,1,27,1682936798
1,0,1,27,1682937063
1,0,1,27,1682937331
1,0,1,27,1682937866
1,0,1,27,1682938135
1,0,1,27,1682938402
1,0,1,27,1682938669
1,0,1,27,1682938936
14,14,0,14,1682939202
14,14,0,14,1682939469
14,14,0,14,1682939735
14,14,0,14,1682940269
14,14,0,14,1682940539
14,14,0,14,1682940804
14,14,0,14,1682941068
14,14,0,14,1682941336
14,14,0,14,1682941603
14,14,0,14,1682941871
13,13,0,15,1682942139
12,12,0,16,1682942677
12,12,0,16,1682942944
12,12,0,16,1682943210
12,12,0,16,1682943476
12,12,0,16,1682943744
12,12,0,16,1682944009
13,12,1,15,1682944276
13,12,1,15,1682944544
12,11,1,16,1682945081
12,11,1,16,1682945349
13,11,2,15,1682945618
14,11,3,14,1682945884
14,11,3,14,1682946151
14,11,3,14,1682946415
14,11,3,14,1682946681
14,11,3,14,1682946946
14,11,3,14,1682947478
14,11,3,14,1682947740
14,11,3,14,1682948003
14,11,3,14,1682948270
14,11,3,14,1682948533
13,10,3,14,1682948799
13,11,2,15,1682949065
13,11,2,15,1682949332
13,11,2,15,1682949864
13,11,2,15,1682950129
13,11,2,15,1682950397
13,11,2,15,1682950663
13,11,2,15,1682950931
13,11,2,15,1682951195
13,11,2,15,1682951462
13,11,2,15,1682951730
13,11,2,15,1682952266
13,11,2,15,1682952531
14,11,3,14,1682952799
14,11,3,14,1682953068
15,11,4,13,1682953333
15,11,4,13,1682953600
15,11,4,13,1682953868
14,11,3,14,1682954136
14,11,3,14,1682954669
14,11,3,14,1682954938
14,11,3,14,1682955205
14,11,3,14,1682955473
14,11,3,14,1682955740
13,11,2,15,1682956008
13,11,2,15,1682956276
13,12,1,15,1682956543
13,12,1,15,1682957079
13,12,1,15,1682957344
13,12,1,15,1682957610
12,11,1,16,1682957878
12,11,1,16,1682958145
12,11,1,16,1682958411
12,11,1,16,1682958679
12,11,1,16,1682958947
12,11,1,16,1682959482
12,11,1,16,1682959749
12,11,1,16,1682960018
12,11,1,16,1682960287
12,11,1,16,1682960555
12,11,1,16,1682960822
12,11,1,16,1682961086
12,11,1,16,1682961352
11,10,1,16,1682961878
11,10,1,17,1682962138
11,10,1,17,1682962399
11,10,1,17,1682962664
10,9,1,18,1682962930
10,9,1,18,1682963198
10,9,1,18,1682963466
10,9,1,18,1682963731
10,9,1,18,1682964262
9,8,1,18,1682964529
9,8,1,18,1682964796
9,8,1,18,1682965062
9,8,1,18,1682965329
9,7,2,19,1682965593
9,7,2,19,1682965857
9,7,2,19,1682966390
10,7,3,18,1682966656
9,7,2,19,1682966923
9,7,2,19,1682967191
9,7,2,19,1682967460
9,7,2,19,1682967727
9,7,2,19,1682967995
8,7,1,20,1682968261
8,7,1,20,1682968525
8,7,1,20,1682969057
8,7,1,20,1682969326
7,6,1,20,1682969592
8,7,1,20,1682969857
8,7,1,20,1682970122
8,7,1,20,1682970389
8,7,1,20,1682970657
9,7,2,19,1682971187
9,7,2,19,1682971457
9,7,2,19,1682971721
9,7,2,19,1682971987
9,7,2,19,1682972254
10,7,3,18,1682972521
10,7,3,18,1682972787
10,7,3,18,1682973055
10,7,3,18,1682973590
10,7,3,18,1682973852
10,7,3,18,1682974118
9,7,2,19,1682974385
9,7,2,19,1682974652
9,7,2,19,1682974919
9,7,2,19,1682975185
9,7,2,19,1682975449
9,7,2,19,1682975981
9,7,2,19,1682976248
9,7,2,19,1682976516
9,7,2,19,1682976781
9,7,2,19,1682977047
9,7,2,19,1682977315
8,6,2,19,1682977581
8,7,1,20,1682977849
8,7,1,20,1682978380
8,7,1,20,1682978646
8,7,1,20,1682978915
8,7,1,20,1682979179
8,7,1,20,1682979443
8,7,1,20,1682979710
8,7,1,20,1682979976
8,7,1,20,1682980277
8,7,1,20,1682980800
8,7,1,20,1682981062
8,7,1,20,1682981324
7,7,0,21,1682981585
7,7,0,21,1682981851
7,7,0,21,1682982156
7,7,0,21,1682982423
7,7,0,21,1682982692
7,7,0,21,1682982959
7,7,0,21,1682983492
7,7,0,21,1682983758
7,7,0,21,1682984024
7,7,0,21,1682984291
7,7,0,21,1682984559
7,7,0,21,1682984825
7,7,0,21,1682985092
7,7,0,21,1682985359
5,5,0,23,1682985628
4,4,0,24,1682986161
4,4,0,24,1682986429
4,4,0,24,1682986696
4,4,0,24,1682986959
4,4,0,24,1682987225
4,4,0,24,1682987488
4,4,0,24,1682987756
4,4,0,24,1682988024
4,4,0,24,1682988557
4,4,0,24,1682988821
4,4,0,24,1682989079
4,4,0,24,1682989342
4,4,0,24,1682989605
4,4,0,24,1682989867
4,4,0,24,1682990126
4,4,0,24,1682990649
4,4,0,24,1682990915
4,4,0,24,1682991183
4,4,0,24,1682991450
4,4,0,24,1682991718
4,4,0,24,1682991985
4,4,0,24,1682992255
4,4,0,24,1682992788
4,4,0,24,1682993056
4,4,0,24,1682993324
4,4,0,24,1682993589
4,4,0,24,1682993855
4,4,0,24,1682994119
4,4,0,24,1682994384
4,4,0,24,1682994650
4,4,0,24,1682994918
4,4,0,24,1682995447
4,4,0,24,1682995712
4,4,0,24,1682995979
4,4,0,24,1682996247
4,4,0,24,1682996515
4,4,0,24,1682996783
4,4,0,24,1682997048
4,4,0,24,1682997585
4,4,0,24,1682997852
4,4,0,24,1682998120
4,4,0,24,1682998387
4,4,0,24,1682998653
4,4,0,24,1682998923
4,4,0,24,1682999189
4,4,0,24,1682999457
4,4,0,24,1682999992
4,4,0,24,1683000258
4,4,0,24,1683000522
4,4,0,24,1683000788
4,4,0,24,1683001051
4,4,0,24,1683001320
4,4,0,24,1683001586
4,4,0,24,1683001852
4,4,0,24,1683002381
4,4,0,24,1683002646
4,4,0,24,1683002912
4,4,0,24,1683003176
4,4,0,24,1683003438
4,4,0,24,1683003702
4,4,0,24,1683003969
4,4,0,24,1683004497
5,4,1,23,1683004763
5,4,1,23,1683005027
5,4,1,23,1683005290
5,4,1,23,1683005556
5,4,1,23,1683005821
6,4,2,22,1683006086
6,4,2,22,1683006350
8,4,4,20,1683006882
11,4,7,17,1683007147
16,4,12,12,1683007411
21,4,17,7,1683007677
23,4,19,5,1683007941
24,4,20,4,1683008207
27,5,22,1,1683008472
28,6,22,0,1683009000
28,6,22,0,1683009267
27,5,22,1,1683009532
26,4,22,2,1683009797
27,4,23,0,1683010059
27,4,23,0,1683010324
27,4,23,0,1683010590
27,4,23,0,1683010851
27,4,23,0,1683011383
27,4,23,0,1683011644
27,4,23,0,1683011913
27,4,23,0,1683012178
27,4,23,0,1683012444
26,4,22,1,1683012709
27,4,23,0,1683012975
26,3,23,1,1683013237
17,3,14,11,1683013764
14,2,12,14,1683014026
14,0,14,13,1683014289
15,0,15,13,1683014555
16,0,16,12,1683014816
18,0,18,10,1683015081
19,0,19,9,1683015343
20,0,20,7,1683015874
20,0,20,7,1683016138
20,0,20,7,1683016406
22,0,22,5,1683016669
21,0,21,6,1683016933
21,0,21,6,1683017198
20,0,20,7,1683017467
22,0,22,4,1683017729
22,0,22,4,1683018259
22,0,22,4,1683018525
23,0,23,3,1683018790
21,0,21,5,1683019056
20,0,20,7,1683019322
18,0,18,9,1683019586
18,0,18,9,1683019852
18,0,18,9,1683020381
19,0,19,8,1683020645
19,0,19,8,1683020909
22,0,22,5,1683021172
22,0,22,6,1683021441
22,0,22,6,1683021703
20,0,20,8,1683021968
19,0,19,9,1683022235
19,0,19,9,1683022767
17,0,17,11,1683023033
16,0,16,12,1683023299
16,0,16,12,1683023564
16,0,16,12,1683023835
15,0,15,13,1683024099
16,0,16,12,1683024369
15,0,15,13,1683024630
16,0,16,12,1683025151
18,0,18,10,1683025414
16,0,16,12,1683025681
15,0,15,13,1683025944
15,0,15,13,1683026206
14,0,14,14,1683026472
13,0,13,15,1683026739
12,0,12,16,1683027268
11,0,11,17,1683027531
7,0,7,20,1683027795
5,0,5,22,1683028062
1,0,1,26,1683028331
0,0,0,27,1683028595
0,0,0,27,1683028861
2,0,2,25,1683029391
1,0,1,26,1683029654
2,0,2,25,1683029920
3,0,3,24,1683030187
4,0,4,23,1683030455
4,0,4,23,1683030720
4,0,4,23,1683030982
3,0,3,24,1683031248
3,0,3,24,1683031782
3,0,3,24,1683032050
2,0,2,25,1683032315
2,0,2,25,1683032580
3,0,3,24,1683032846
1,0,1,26,1683033107
2,0,2,25,1683033372
1,0,1,26,1683033638
1,0,1,25,1683034165
1,0,1,25,1683034428
2,0,2,24,1683034695
6,0,6,20,1683034964
6,0,6,20,1683035229
4,0,4,22,1683035496
2,0,2,24,1683035759
3,0,3,23,1683036295
1,0,1,25,1683036557
1,0,1,25,1683036824
1,0,1,25,1683037090
0,0,0,26,1683037356
0,0,0,26,1683037621
2,0,2,24,1683037886
1,0,1,25,1683038153
2,0,2,24,1683038686
2,0,2,24,1683038953
2,0,2,24,1683039215
1,0,1,25,1683039481
0,0,0,26,1683039747
0,0,0,26,1683040011
1,0,1,25,1683040283
2,0,2,24,1683040546
1,0,1,25,1683041072
1,0,1,25,1683041339
0,0,0,26,1683041603
1,0,1,25,1683041866
0,0,0,26,1683042136
0,0,0,26,1683042403
2,0,2,24,1683042670
0,0,0,26,1683043196
0,0,0,26,1683043464
0,0,0,26,1683043731
0,0,0,25,1683043996
0,0,0,25,1683044529
0,0,0,25,1683044529
0,0,0,25,1683044797
1,0,1,24,1683045061
2,0,2,24,1683045591
1,0,1,25,1683045852
1,0,1,25,1683046119
1,0,1,25,1683046387
0,0,0,26,1683046654
0,0,0,26,1683046921
0,0,0,26,1683047186
0,0,0,26,1683047453
0,0,0,26,1683047984
1,0,1,24,1683048250
1,0,1,24,1683048516
0,0,0,25,1683048781
0,0,0,25,1683049046
0,0,0,25,1683049314
0,0,0,25,1683049575
0,0,0,25,1683049839
0,0,0,25,1683050367
0,0,0,25,1683050635
1,0,1,24,1683050907
1,0,1,24,1683051174
0,0,0,25,1683051440
1,0,1,24,1683051706
1,0,1,24,1683051970
0,0,0,25,1683052240
0,0,0,24,1683052771
0,0,0,24,1683053035
0,0,0,24,1683053300
1,0,1,23,1683053567
0,0,0,24,1683053830
0,0,0,24,1683054094
1,0,1,24,1683054363
0,0,0,25,1683054626
1,0,1,25,1683055156
0,0,0,26,1683055426
0,0,0,26,1683055691
0,0,0,26,1683055956
0,0,0,26,1683056222
0,0,0,26,1683056488
0,0,0,26,1683056755
0,0,0,26,1683057021
0,0,0,26,1683057553
0,0,0,26,1683057820
0,0,0,26,1683058085
0,0,0,26,1683058351
0,0,0,26,1683058618
0,0,0,26,1683058884
0,0,0,26,1683059150
0,0,0,26,1683059678
0,0,0,26,1683059942
0,0,0,26,1683060205
0,0,0,26,1683060473
1,0,1,25,1683060738
1,0,1,25,1683061003
0,0,0,26,1683061266
0,0,0,26,1683061800
0,0,0,26,1683062063
0,0,0,26,1683062327
0,0,0,26,1683062591
0,0,0,26,1683062854
1,0,1,25,1683063119
0,0,0,26,1683063383
0,0,0,26,1683063647
0,0,0,26,1683064178
0,0,0,26,1683064445
0,0,0,26,1683064710
0,0,0,26,1683064977
0,0,0,26,1683065240
0,0,0,26,1683065505
0,0,0,26,1683065766
0,0,0,26,1683066294
0,0,0,26,1683066555
0,0,0,26,1683066816
0,0,0,26,1683067077
0,0,0,26,1683067341
0,0,0,26,1683067607
0,0,0,26,1683067872
0,0,0,26,1683068135
0,0,0,26,1683068442
0,0,0,26,1683068971
0,0,0,26,1683069232
0,0,0,26,1683069495
0,0,0,26,1683069757
0,0,0,26,1683070019
0,0,0,26,1683070318
0,0,0,26,1683070585
0,0,0,26,1683070850
0,0,0,26,1683071384
0,0,0,26,1683071651
0,0,0,26,1683071916
0,0,0,26,1683072184
0,0,0,26,1683072451
0,0,0,26,1683072718
0,0,0,26,1683072979
0,0,0,26,1683073246
0,0,0,26,1683073778
0,0,0,26,1683074043
0,0,0,26,1683074307
0,0,0,26,1683074574
0,0,0,26,1683074838
0,0,0,26,1683075104
0,0,0,26,1683075368
0,0,0,26,1683075894
0,0,0,26,1683076159
0,0,0,26,1683076425
0,0,0,26,1683076688
0,0,0,26,1683076954
0,0,0,26,1683077221
0,0,0,26,1683077483
0,0,0,26,1683077750
0,0,0,26,1683078279
0,0,0,26,1683078545
0,0,0,26,1683078810
0,0,0,26,1683079074
0,0,0,26,1683079338
0,0,0,26,1683079608
0,0,0,26,1683079873
0,0,0,26,1683080138
0,0,0,26,1683080673
0,0,0,26,1683080937
0,0,0,26,1683081204
0,0,0,26,1683081471
0,0,0,26,1683081735
0,0,0,26,1683082002
0,0,0,26,1683082267
0,0,0,26,1683082795
0,0,0,26,1683083061
0,0,0,26,1683083326
0,0,0,26,1683083591
0,0,0,26,1683083855
0,0,0,26,1683084120
0,0,0,26,1683084385
0,0,0,26,1683084652
0,0,0,26,1683085183
0,0,0,26,1683085450
1,0,1,25,1683085718
1,0,1,25,1683085985
1,0,1,25,1683086250
1,0,1,25,1683086516
1,0,1,25,1683086781
1,0,1,25,1683087049
1,0,1,25,1683087575
1,0,1,25,1683087843
1,0,1,25,1683088112
1,0,1,25,1683088376
0,0,0,26,1683088641
0,0,0,26,1683088908
0,0,0,26,1683089174
0,0,0,26,1683089439
0,0,0,26,1683089972
0,0,0,26,1683090239
0,0,0,26,1683090503
0,0,0,26,1683090771
0,0,0,26,1683091038
0,0,0,26,1683091305
0,0,0,26,1683091570
0,0,0,26,1683092100
2,0,2,24,1683092363
2,0,2,24,1683092629
2,0,2,24,1683092894
3,0,3,23,1683093159
9,0,9,17,1683093424
14,1,13,12,1683093688
18,1,17,8,1683093953
24,1,23,2,1683094482
25,1,24,1,1683094748
26,1,25,0,1683095011
26,1,25,0,1683095272
25,0,25,0,1683095536
25,0,25,1,1683095804
26,0,26,0,1683096072
26,0,26,0,1683096335
26,0,26,0,1683096861
26,0,26,0,1683097128
26,0,26,0,1683097392
26,0,26,0,1683097655
26,0,26,0,1683097916
26,0,26,0,1683098180
15,0,15,11,1683098443
15,0,15,11,1683098968
15,0,15,11,1683099235
16,0,16,10,1683099501
16,0,16,10,1683099770
17,0,17,9,1683100035
20,0,20,6,1683100298
24,0,24,2,1683100563
26,0,26,0,1683100828
26,0,26,0,1683101362
23,0,23,3,1683101630
26,1,25,0,1683101890
25,1,24,1,1683102160
24,1,23,2,1683102428
24,1,23,2,1683102692
26,2,24,0,1683102958
25,2,23,0,1683103489
25,2,23,0,1683103756
25,2,23,0,1683104023
25,2,23,0,1683104290
25,2,23,0,1683104558
22,1,21,3,1683104857
24,1,23,2,1683105120
23,1,22,3,1683105383
25,1,24,1,1683105648
24,1,23,2,1683106174
24,1,23,2,1683106443
24,1,23,2,1683106745
24,1,23,2,1683107009
23,1,22,3,1683107275
23,1,22,3,1683107540
25,1,24,1,1683107805
23,1,22,3,1683108069
21,1,20,5,1683108335
22,1,21,4,1683108867
21,0,21,3,1683109136
20,0,20,5,1683109403
19,0,19,6,1683109669
19,0,19,6,1683109935
19,0,19,6,1683110201
21,0,21,4,1683110461
20,0,20,5,1683110724
19,0,19,6,1683111253
19,0,19,6,1683111520
16,0,16,9,1683111786
14,0,14,11,1683112054
13,1,12,12,1683112318
13,1,12,12,1683112584
13,0,13,13,1683112850
12,0,12,14,1683113112
14,0,14,12,1683113641
14,0,14,12,1683113905
