num_bikes_available,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,num_docks_available,last_reported
0,0,0,27,1685570205
0,0,0,27,1685570470
0,0,0,28,1685570738
0,0,0,28,1685571037
0,0,0,28,1685571563
0,0,0,28,1685571823
0,0,0,28,1685572081
0,0,0,28,1685572342
0,0,0,28,1685572604
0,0,0,28,1685572908
0,0,0,28,1685573174
0,0,0,28,1685573441
0,0,0,28,1685573972
0,0,0,28,1685574238
0,0,0,28,1685574504
0,0,0,28,1685574771
0,0,0,28,1685575032
0,0,0,28,1685575297
0,0,0,28,1685575563
0,0,0,28,1685576097
0,0,0,28,1685576358
0,0,0,28,1685576624
0,0,0,28,1685576885
0,0,0,28,1685577150
0,0,0,28,1685577418
0,0,0,28,1685577683
0,0,0,28,1685577949
0,0,0,28,1685578480
0,0,0,28,1685578742
0,0,0,28,1685579006
0,0,0,28,1685579273
0,0,0,28,1685579536
0,0,0,28,1685579800
0,0,0,28,1685580065
0,0,0,28,1685580330
0,0,0,28,1685580863
0,0,0,28,1685581126
0,0,0,28,1685581390
0,0,0,28,1685581655
0,0,0,28,1685581919
0,0,0,28,1685582181
1,0,1,27,1685582442
1,0,1,27,1685582972
4,1,3,24,1685583237
4,1,3,24,1685583502
4,1,3,24,1685583770
4,1,3,24,1685584038
4,1,3,24,1685584300
4,1,3,24,1685584568
4,1,3,24,1685584828
4,1,3,24,1685585359
4,1,3,24,1685585624
4,1,3,24,1685585887
4,1,3,24,1685586153
4,1,3,24,1685586421
4,1,3,24,1685586686
4,1,3,24,1685586953
4,1,3,24,1685587482
4,1,3,24,1685587749
4,1,3,24,1685588011
4,1,3,24,1685588279
4,1,3,24,1685588543
4,1,3,24,1685588808
4,1,3,24,1685589070
4,1,3,24,1685589335
4,1,3,24,1685589867
4,1,3,24,1685590135
4,1,3,24,1685590400
4,1,3,24,1685590666
4,1,3,24,1685590932
4,1,3,24,1685591200
4,1,3,24,1685591466
4,1,3,24,1685591729
4,1,3,24,1685592259
4,1,3,24,1685592526
4,1,3,24,1685592786
4,1,3,24,1685593042
4,1,3,24,1685593300
4,1,3,24,1685593557
4,1,3,24,1685594077
5,1,4,23,1685594341
5,1,4,23,1685594607
5,1,4,23,1685594874
5,1,4,23,1685595132
5,1,4,23,1685595391
5,1,4,23,1685595647
