num_bikes_available,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,num_docks_available,last_reported,V1
1.0,0.0,1.0,26.0,1690840725.0,
1.0,0.0,1.0,26.0,1690840984.0,
1.0,0.0,1.0,26.0,1690841247.0,
1.0,0.0,1.0,26.0,1690841509.0,
1.0,0.0,1.0,26.0,1690841773.0,
1.0,0.0,1.0,26.0,1690842037.0,
1.0,0.0,1.0,26.0,1690842563.0,
1.0,0.0,1.0,26.0,1690842563.0,
1.0,0.0,1.0,26.0,1690842826.0,
1.0,0.0,1.0,26.0,1690843359.0,
1.0,0.0,1.0,26.0,1690843621.0,
1.0,0.0,1.0,26.0,1690843883.0,
1.0,0.0,1.0,26.0,1690844147.0,
1.0,0.0,1.0,26.0,1690844409.0,
1.0,0.0,1.0,26.0,1690844672.0,
1.0,0.0,1.0,26.0,1690845197.0,
1.0,0.0,1.0,26.0,1690845459.0,
2.0,0.0,2.0,25.0,1690845722.0,
2.0,0.0,2.0,25.0,1690845986.0,
2.0,0.0,2.0,25.0,1690846259.0,
2.0,0.0,2.0,25.0,1690846548.0,
2.0,0.0,2.0,26.0,1690846811.0,
2.0,0.0,2.0,25.0,1690847072.0,
2.0,0.0,2.0,25.0,1690847597.0,
2.0,0.0,2.0,25.0,1690847597.0,
2.0,0.0,2.0,25.0,1690848125.0,
3.0,0.0,3.0,25.0,1690848387.0,
0.0,0.0,3.0,25.0,1690848649.0,
0.0,0.0,3.0,25.0,1690848649.0,
0.0,0.0,3.0,25.0,1690849280.0,
0.0,0.0,3.0,24.0,1690849571.0,
0.0,0.0,3.0,24.0,1690849731.0,
0.0,0.0,3.0,24.0,1690849731.0,
0.0,0.0,3.0,24.0,1690850397.0,
0.0,0.0,3.0,24.0,1690850979.0,
0.0,0.0,3.0,24.0,1690850979.0,
3.0,0.0,3.0,24.0,1690851526.0,
3.0,0.0,3.0,24.0,1690851791.0,
3.0,0.0,3.0,24.0,1690852058.0,
3.0,0.0,3.0,24.0,1690852325.0,
3.0,0.0,3.0,24.0,1690852591.0,
3.0,0.0,3.0,24.0,1690852849.0,
3.0,0.0,3.0,24.0,1690853380.0,
3.0,0.0,3.0,24.0,1690853380.0,
3.0,0.0,3.0,24.0,1690853907.0,
3.0,0.0,3.0,24.0,1690854173.0,
3.0,0.0,3.0,24.0,1690854437.0,
3.0,0.0,3.0,24.0,1690854704.0,
3.0,0.0,3.0,24.0,1690854971.0,
3.0,0.0,3.0,24.0,1690855234.0,
3.0,0.0,3.0,24.0,1690855764.0,
3.0,0.0,3.0,24.0,1690855764.0,
3.0,0.0,3.0,24.0,1690856291.0,
3.0,0.0,3.0,24.0,1690856557.0,
3.0,0.0,3.0,24.0,1690856822.0,
3.0,0.0,3.0,24.0,1690857089.0,
3.0,0.0,3.0,24.0,1690857351.0,
3.0,0.0,3.0,24.0,1690857617.0,
3.0,0.0,3.0,24.0,1690858146.0,
3.0,0.0,3.0,24.0,1690858410.0,
3.0,0.0,3.0,24.0,1690858410.0,
3.0,0.0,3.0,24.0,1690858937.0,
3.0,0.0,3.0,24.0,1690859199.0,
3.0,0.0,3.0,24.0,1690859465.0,
3.0,0.0,3.0,24.0,1690859729.0,
3.0,0.0,3.0,24.0,1690859996.0,
3.0,0.0,3.0,24.0,1690860526.0,
3.0,0.0,3.0,24.0,1690860791.0,
3.0,0.0,3.0,24.0,1690861056.0,
3.0,0.0,3.0,24.0,1690861321.0,
3.0,0.0,3.0,24.0,1690861585.0,
3.0,0.0,3.0,24.0,1690861849.0,
3.0,0.0,3.0,24.0,1690862115.0,
3.0,0.0,3.0,24.0,1690862380.0,
3.0,0.0,3.0,24.0,1690862908.0,
3.0,0.0,3.0,24.0,1690863173.0,
3.0,0.0,3.0,24.0,1690863441.0,
3.0,0.0,3.0,24.0,1690863705.0,
3.0,0.0,3.0,24.0,1690863969.0,
3.0,0.0,3.0,24.0,1690864236.0,
3.0,0.0,3.0,24.0,1690864761.0,
3.0,0.0,3.0,24.0,1690864761.0,
3.0,0.0,3.0,24.0,1690865023.0,
3.0,0.0,3.0,24.0,1690865554.0,
3.0,0.0,3.0,24.0,1690865819.0,
3.0,0.0,3.0,24.0,1690866079.0,
2.0,0.0,2.0,25.0,1690866343.0,
2.0,0.0,2.0,25.0,1690866610.0,
2.0,0.0,2.0,25.0,1690866875.0,
2.0,0.0,2.0,25.0,1690867408.0,
2.0,0.0,2.0,25.0,1690867408.0,
2.0,0.0,2.0,25.0,1690867939.0,
2.0,0.0,2.0,25.0,1690868205.0,
2.0,0.0,2.0,25.0,1690868470.0,
2.0,0.0,2.0,25.0,1690868736.0,
2.0,0.0,2.0,25.0,1690869001.0,
2.0,0.0,2.0,25.0,1690869266.0,
2.0,0.0,2.0,25.0,1690869796.0,
2.0,0.0,2.0,25.0,1690870062.0,
1.0,0.0,1.0,26.0,1690870327.0,
1.0,0.0,1.0,26.0,1690870590.0,
1.0,0.0,1.0,26.0,1690870853.0,
1.0,0.0,1.0,26.0,1690871117.0,
2.0,0.0,2.0,25.0,1690871381.0,
3.0,0.0,3.0,24.0,1690871913.0,
2.0,0.0,2.0,25.0,1690872182.0,
2.0,0.0,2.0,25.0,1690872444.0,
2.0,0.0,2.0,25.0,1690872706.0,
2.0,0.0,2.0,25.0,1690872972.0,
3.0,0.0,3.0,24.0,1690873236.0,
3.0,0.0,3.0,24.0,1690873499.0,
3.0,0.0,3.0,24.0,1690873762.0,
1.0,0.0,1.0,26.0,1690874294.0,
1.0,0.0,1.0,26.0,1690874560.0,
1.0,0.0,1.0,26.0,1690874825.0,
1.0,0.0,1.0,26.0,1690875092.0,
2.0,0.0,2.0,25.0,1690875360.0,
3.0,1.0,2.0,24.0,1690875626.0,
3.0,1.0,2.0,24.0,1690876155.0,
3.0,1.0,2.0,24.0,1690876419.0,
3.0,1.0,2.0,24.0,1690876685.0,
3.0,1.0,2.0,24.0,1690876950.0,
3.0,1.0,2.0,24.0,1690877214.0,
4.0,1.0,3.0,23.0,1690877477.0,
4.0,1.0,3.0,23.0,1690877743.0,
4.0,1.0,3.0,23.0,1690878010.0,
4.0,1.0,3.0,23.0,1690878276.0,
5.0,1.0,4.0,22.0,1690878804.0,
6.0,1.0,5.0,21.0,1690879070.0,
6.0,1.0,5.0,21.0,1690879337.0,
6.0,1.0,5.0,21.0,1690879602.0,
6.0,1.0,5.0,21.0,1690879868.0,
6.0,1.0,5.0,21.0,1690880127.0,
5.0,1.0,4.0,22.0,1690880393.0,
5.0,1.0,4.0,22.0,1690880920.0,
4.0,1.0,3.0,23.0,1690881187.0,
3.0,0.0,3.0,23.0,1690881454.0,
3.0,1.0,2.0,24.0,1690881719.0,
3.0,1.0,2.0,24.0,1690881986.0,
3.0,1.0,2.0,24.0,1690882252.0,
3.0,1.0,2.0,24.0,1690882519.0,
3.0,1.0,2.0,24.0,1690882782.0,
3.0,1.0,2.0,24.0,1690883049.0,
3.0,1.0,2.0,24.0,1690883577.0,
3.0,1.0,2.0,24.0,1690883843.0,
3.0,1.0,2.0,24.0,1690884108.0,
3.0,1.0,2.0,24.0,1690884373.0,
3.0,1.0,2.0,24.0,1690884638.0,
3.0,1.0,2.0,24.0,1690884899.0,
3.0,1.0,2.0,24.0,1690885160.0,
3.0,1.0,2.0,24.0,1690885691.0,
3.0,1.0,2.0,24.0,1690885956.0,
3.0,1.0,2.0,24.0,1690886217.0,
4.0,1.0,3.0,23.0,1690886478.0,
5.0,1.0,4.0,22.0,1690886743.0,
5.0,1.0,4.0,22.0,1690887003.0,
5.0,1.0,4.0,22.0,1690887269.0,
5.0,1.0,4.0,22.0,1690887802.0,
5.0,1.0,4.0,22.0,1690888068.0,
5.0,1.0,4.0,22.0,1690888328.0,
