year,month,day,week_day,hour,exits,arrivals
2021,1,1,Friday,0,0,1
2021,1,1,Friday,1,1,0
2021,1,1,Friday,2,0,0
2021,1,1,Friday,3,0,0
2021,1,1,Friday,4,0,0
2021,1,1,Friday,5,0,0
2021,1,1,Friday,6,0,0
2021,1,1,Friday,7,0,0
2021,1,1,Friday,8,0,0
2021,1,1,Friday,9,0,0
2021,1,1,Friday,10,3,0
2021,1,1,Friday,11,0,0
2021,1,1,Friday,12,0,0
2021,1,1,Friday,13,0,0
2021,1,1,Friday,14,0,0
2021,1,1,Friday,15,1,0
2021,1,1,Friday,16,1,0
2021,1,1,Friday,17,0,0
2021,1,1,Friday,18,0,0
2021,1,1,Friday,19,1,0
2021,1,1,Friday,20,0,2
2021,1,1,Friday,21,0,1
2021,1,1,Friday,22,0,0
2021,1,1,Friday,23,0,0
2021,1,2,Saturday,0,0,0
2021,1,2,Saturday,1,0,0
2021,1,2,Saturday,2,0,0
2021,1,2,Saturday,3,0,0
2021,1,2,Saturday,4,0,0
2021,1,2,Saturday,5,0,0
2021,1,2,Saturday,6,0,0
2021,1,2,Saturday,7,0,0
2021,1,2,Saturday,8,1,2
2021,1,2,Saturday,9,0,0
2021,1,2,Saturday,10,0,0
2021,1,2,Saturday,11,1,2
2021,1,2,Saturday,12,1,0
2021,1,2,Saturday,13,0,0
2021,1,2,Saturday,14,2,3
2021,1,2,Saturday,15,3,2
2021,1,2,Saturday,16,0,1
2021,1,2,Saturday,17,2,0
2021,1,2,Saturday,18,1,0
2021,1,2,Saturday,19,0,5
2021,1,2,Saturday,20,5,1
2021,1,2,Saturday,21,0,1
2021,1,2,Saturday,22,0,0
2021,1,2,Saturday,23,0,0
2021,1,3,Sunday,0,0,0
2021,1,3,Sunday,1,0,0
2021,1,3,Sunday,2,0,0
2021,1,3,Sunday,3,0,0
2021,1,3,Sunday,4,0,0
2021,1,3,Sunday,5,0,0
2021,1,3,Sunday,6,0,0
2021,1,3,Sunday,7,0,0
2021,1,3,Sunday,8,0,2
2021,1,3,Sunday,9,0,0
2021,1,3,Sunday,10,0,0
2021,1,3,Sunday,11,1,2
2021,1,3,Sunday,12,2,1
2021,1,3,Sunday,13,0,1
2021,1,3,Sunday,14,5,2
2021,1,3,Sunday,15,2,0
2021,1,3,Sunday,16,1,0
2021,1,3,Sunday,17,1,3
2021,1,3,Sunday,18,0,0
2021,1,3,Sunday,19,1,1
2021,1,3,Sunday,20,0,0
2021,1,3,Sunday,21,2,1
2021,1,3,Sunday,22,0,1
2021,1,3,Sunday,23,0,0
2021,1,4,Monday,0,0,0
2021,1,4,Monday,1,0,0
2021,1,4,Monday,2,0,0
2021,1,4,Monday,3,0,0
2021,1,4,Monday,4,0,0
2021,1,4,Monday,5,0,0
2021,1,4,Monday,6,0,0
2021,1,4,Monday,7,0,0
2021,1,4,Monday,8,1,5
2021,1,4,Monday,9,1,1
2021,1,4,Monday,10,0,3
2021,1,4,Monday,11,0,4
2021,1,4,Monday,12,2,1
2021,1,4,Monday,13,1,1
2021,1,4,Monday,14,2,2
2021,1,4,Monday,15,4,0
2021,1,4,Monday,16,2,1
2021,1,4,Monday,17,3,1
2021,1,4,Monday,18,2,1
2021,1,4,Monday,19,2,2
2021,1,4,Monday,20,0,1
2021,1,4,Monday,21,1,1
2021,1,4,Monday,22,0,0
2021,1,4,Monday,23,0,0
2021,1,5,Tuesday,0,0,0
2021,1,5,Tuesday,1,0,0
2021,1,5,Tuesday,2,0,0
2021,1,5,Tuesday,3,0,0
2021,1,5,Tuesday,4,0,0
2021,1,5,Tuesday,5,0,0
2021,1,5,Tuesday,6,0,0
2021,1,5,Tuesday,7,1,0
2021,1,5,Tuesday,8,0,4
2021,1,5,Tuesday,9,2,3
2021,1,5,Tuesday,10,0,4
2021,1,5,Tuesday,11,0,2
2021,1,5,Tuesday,12,0,1
2021,1,5,Tuesday,13,2,0
2021,1,5,Tuesday,14,4,1
2021,1,5,Tuesday,15,0,1
2021,1,5,Tuesday,16,4,1
2021,1,5,Tuesday,17,0,0
2021,1,5,Tuesday,18,1,5
2021,1,5,Tuesday,19,1,1
2021,1,5,Tuesday,20,5,2
2021,1,5,Tuesday,21,2,1
2021,1,5,Tuesday,22,5,1
2021,1,5,Tuesday,23,0,0
2021,1,6,Wednesday,0,0,0
2021,1,6,Wednesday,1,0,0
2021,1,6,Wednesday,2,0,0
2021,1,6,Wednesday,3,0,0
2021,1,6,Wednesday,4,0,0
2021,1,6,Wednesday,5,0,0
2021,1,6,Wednesday,6,0,0
2021,1,6,Wednesday,7,0,0
2021,1,6,Wednesday,8,0,0
2021,1,6,Wednesday,9,0,1
2021,1,6,Wednesday,10,0,0
2021,1,6,Wednesday,11,0,0
2021,1,6,Wednesday,12,1,0
2021,1,6,Wednesday,13,1,0
2021,1,6,Wednesday,14,0,1
2021,1,6,Wednesday,15,1,0
2021,1,6,Wednesday,16,1,0
2021,1,6,Wednesday,17,0,0
2021,1,6,Wednesday,18,1,0
2021,1,6,Wednesday,19,4,0
2021,1,6,Wednesday,20,0,1
2021,1,6,Wednesday,21,2,1
2021,1,6,Wednesday,22,0,0
2021,1,6,Wednesday,23,0,0
2021,1,7,Thursday,0,0,0
2021,1,7,Thursday,1,0,0
2021,1,7,Thursday,2,0,0
2021,1,7,Thursday,3,0,0
2021,1,7,Thursday,4,0,0
2021,1,7,Thursday,5,0,0
2021,1,7,Thursday,6,0,0
2021,1,7,Thursday,7,1,3
2021,1,7,Thursday,8,0,2
2021,1,7,Thursday,9,7,5
2021,1,7,Thursday,10,1,4
2021,1,7,Thursday,11,6,1
2021,1,7,Thursday,12,2,0
2021,1,7,Thursday,13,0,0
2021,1,7,Thursday,14,0,4
2021,1,7,Thursday,15,1,4
2021,1,7,Thursday,16,1,2
2021,1,7,Thursday,17,3,0
2021,1,7,Thursday,18,5,5
2021,1,7,Thursday,19,2,2
2021,1,7,Thursday,20,1,0
2021,1,7,Thursday,21,0,1
